,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS,LINKS
0,Lifeline Multi Speciality Hospital,"Gota, Ahmedabad",7.0,20.0,https://www.practo.com/ahmedabad/hospital/lifeline-multispeciality-hospital-chandlodia-1
1,Columbia Asia Hospital,"Thaltej, Ahmedabad",2.0,,https://www.practo.com/ahmedabad/hospital/columbia-asia-hospital-thaltej-1
2,Sanjivani Super Speciality Hospital,"Vastrapur, Ahmedabad",10.0,,https://www.practo.com/ahmedabad/hospital/sanjivani-super-speciality-hospital-vastrapur
3,Swaram ENT Hospital,"Ghatlodia, Ahmedabad",1.0,,https://www.practo.com/ahmedabad/hospital/swaram-ent-hospital-ghatlodia1
4,Shilp Hospital,"Paldi, Ahmedabad",2.0,10.0,https://www.practo.com/ahmedabad/hospital/shilp-hospital-paldi-1
5,Anand Multi Speciality Hospitals Pvt. Ltd.,"Shahibag, Ahmedabad",26.0,,https://www.practo.com/ahmedabad/hospital/anand-multi-speciality-hospitals-pvt-ltd-shahibag
6,Dr. Jivraj Mehta Smarak Health Foundation,"Vasna, Ahmedabad",31.0,220.0,https://www.practo.com/ahmedabad/hospital/dr-jivraj-mehta-smarak-health-foundation-vasna
7,Shubham Superspeciality Hospital,"Naranpura Vistar, Ahmedabad",21.0,,https://www.practo.com/ahmedabad/hospital/shubham-super-speciality-hospital-ahmedabad
8,HCG Multi Specialty Hospital,"Ellisbridge, Ahmedabad",16.0,,https://www.practo.com/ahmedabad/hospital/hcg-multi-specialty-hospital-ellisbridge-1
9,Adwait ICU And Multispeciality Hospital,"Bopal, Ahmedabad",13.0,,https://www.practo.com/ahmedabad/hospital/adwait-icu-and-multispeciality-hospital-bopal
10,Jayyush Hospital,"Ghatlodia, Ahmedabad",1.0,,https://www.practo.com/ahmedabad/hospital/jayyush-hospital-ghatlodia
11,Akshar Hospital ,"Vejalpur, Ahmedabad",6.0,,https://www.practo.com/ahmedabad/hospital/akshar-hospital-vejalpur
12,Aarsh Children's Orthopedic Hospital,"Satellite, Ahmedabad",2.0,,https://www.practo.com/ahmedabad/hospital/aarsh-children-s-orthopedic-hospital-satellite
13,Parimal Hospital,"Maninagar, Ahmedabad",12.0,,https://www.practo.com/ahmedabad/hospital/parimal-hospital-maninagar-1
14,Uma Multispeciality Hospital,"Naroda, Ahmedabad",10.0,18.0,https://www.practo.com/ahmedabad/hospital/uma-multispeciality-hospital-naroda
