,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS,LINKS
0,People Tree Hospitals,"Yeshwanthpur, Bangalore",51.0,200.0,https://www.practo.com/bangalore/hospital/people-tree-hospitals-yeshwanthpur-1
1,Marvel Hospital And Fertility Centre,"Koramangala 1 Block, Bangalore",15.0,30.0,https://www.practo.com/bangalore/hospital/marvel-speciality-hospital-and-fertility-centre-koramangala-1-block
2,Apollo Spectra Hospitals,"Koramangala 5 Block, Bangalore",39.0,20.0,https://www.practo.com/bangalore/hospital/apollo-spectra-hospitals-koramangala-5-block-1
3,Telerad RxDx Healthcare Pvt. Ltd.,"Whitefield, Bangalore",80.0,25.0,https://www.practo.com/bangalore/hospital/telerad-rxdx-whitefield-1
4,Narayana Hrudhayalaya Multispeciality Hospital,"Whitefield, Bangalore",2.0,150.0,https://www.practo.com/bangalore/hospital/narayana-multispecilality-hospital-whitefield
5,Cloudnine Kids,"Jayanagar, Bangalore",38.0,32.0,https://www.practo.com/bangalore/hospital/cloudnine-hospital-jayanagar-jayanagar-3-block
6,BGS Global Hospital,"Kengeri, Bangalore",27.0,100.0,https://www.practo.com/bangalore/hospital/bgs-global-hospital-bangalore-kengeri
7,Motherhood Hospital,"Indiranagar, Bangalore",37.0,42.0,https://www.practo.com/bangalore/hospital/motherhood-hospital-indiranagar
8,MediHope Super Speciality Hospital,"New Thippasandra, Bangalore",16.0,110.0,https://www.practo.com/bangalore/hospital/psychological-counseling-clinic-and-training-center-for-teens-and-adults-new-thippasandra
9,Navachetana Hospital,"Yelahanka, Bangalore",22.0,30.0,https://www.practo.com/bangalore/hospital/navachetana-hospital-2-yelahanka
10,Bhagwan Mahaveer Jain Hospital - Vasanthnagar,"Millers Road, Bangalore",45.0,500.0,https://www.practo.com/bangalore/hospital/jain-hospital-vasanthnagar
11,MS Ramaiah Memorial Hospital,"New BEL Road, Bangalore",56.0,,https://www.practo.com/bangalore/hospital/ms-ramaiah-memorial-hospital-new-bel-road-1
12,St John Medical College and Hospital,"Sarjapur Road, Bangalore",29.0,1348.0,https://www.practo.com/bangalore/hospital/st-john-s-medical-college-and-hospital-sarjapur-road
13,Vydehi Hospital,"Whitefield, Bangalore",15.0,,https://www.practo.com/bangalore/hospital/vydehi-hospital-whitefield-1
14,Koshys Hospital,"Ramamurthy Nagar, Bangalore",21.0,25.0,https://www.practo.com/bangalore/hospital/koshys-hospital-ramamurthy-nagar-2-1
15,St. Philomena's Hospital,"Viveknagar, Bangalore",55.0,400.0,https://www.practo.com/bangalore/hospital/st-philomenas-hospital-viveknagar
16,Manipal Hospital,"Old Airport Road, Bangalore",173.0,100.0,https://www.practo.com/bangalore/hospital/manipal-hospital-old-airport-road-1-630200
17,Axon Speciality Hospital,"Indiranagar, Bangalore",11.0,50.0,https://www.practo.com/bangalore/hospital/axon-speciality-hospital-indiranagar-1
18,Lotus Multispeciality Center,"HSR Layout, Bangalore",5.0,,https://www.practo.com/bangalore/hospital/lotus-multispeciality-center-hsr-layout-hsr-layout
19,Queens Hospital,"HSR Layout, Bangalore",8.0,40.0,https://www.practo.com/bangalore/hospital/queens-hospital-hsr-layout-hsr-layout
20,Sri Chowdeshwari,"Kadugodi, Bangalore",1.0,260.0,https://www.practo.com/bangalore/hospital/yashomati-hospital-marathalli-1
21,Panacea Hospital - Nagarabhavi,"Nagarbhavi, Bangalore",57.0,,https://www.practo.com/bangalore/hospital/panacea-hospital-nagarabhavi-nagarbhavi
22,Columbia Asia Hospital,"Hebbal, Bangalore",12.0,,https://www.practo.com/bangalore/hospital/columbia-asia-hospital-hebbala-hebbal
23,Narayana Multispeciality Hospital,"HSR Layout, Bangalore",2.0,90.0,https://www.practo.com/bangalore/hospital/narayana-multispeciality-hospital-hsr-layout-bangalore-hsr-layout
24,Mallige Medical Centre,"Kumara Park West, Bangalore",48.0,150.0,https://www.practo.com/bangalore/hospital/mallige-medical-centre-gandhinagar-1
25,Bharathi Nursing Home,"Basavanagudi, Bangalore",11.0,30.0,https://www.practo.com/bangalore/hospital/bharathi-nursing-home-basavanagudi-2
26,Sagar Hospital,"Jayanagar, Bangalore",30.0,200.0,https://www.practo.com/bangalore/hospital/sagar-hospital-tilaknagar-tilaknagar
27,Motherhood Hospital,"Sarjapur Road, Bangalore",27.0,48.0,https://www.practo.com/bangalore/hospital/motherhood-hospital-sarjapur-road
28,Fortis Hospital Cunningham Road,"Cunningham Road, Bangalore",43.0,,https://www.practo.com/bangalore/hospital/fortis-hospital-cunningham-road-1
29,Hosmat Hospital,"Magrath Road, Bangalore",11.0,164.0,https://www.practo.com/bangalore/hospital/hosmat-hospital-5-magrath-road-1
30,Specialist Hospital,"Kalyan Nagar, Bangalore",9.0,150.0,https://www.practo.com/bangalore/hospital/specialist-hospital-kalyan-nagar-5
31,Ramakrishna Super Speciality Hospital,"Jayanagar, Bangalore",18.0,38.0,https://www.practo.com/bangalore/hospital/ramakrishna-super-speciality-hospital-jayanagar-3-block
