,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS,LINKS
0,Doctor Square Multispeciality Hospital,"Zirakpur, Chandigarh",5,10.0,https://www.practo.com/chandigarh/hospital/doctor-square-sector-53
1,Grover Eye Laser & ENT Hospital,"Sector 35, Chandigarh",6,50.0,https://www.practo.com/chandigarh/hospital/grover-eye-laser-ent-hospital-sector-35-1
2,Mukat Hospital & Heart Institute,"Sector 34, Chandigarh",9,40.0,https://www.practo.com/chandigarh/hospital/mukat-hospital-heart-institute-sector-34
3,Dashmesh Hospital,"Zirakpur, Chandigarh",3,10.0,https://www.practo.com/chandigarh/hospital/dashmesh-hospital-zirakpur
4,Odontos Dental Hospital,"Zirakpur, Chandigarh",1,,https://www.practo.com/chandigarh/hospital/odontos-dental-hospital-zirakpur-2
5,Hope Clinic Maternity Centre,"Sector 21, Chandigarh",6,7.0,https://www.practo.com/chandigarh/hospital/hope-clinic-maternity-centre-sector-21
6,CMC Hospital,"Sector-17, Chandigarh",15,,https://www.practo.com/chandigarh/hospital/cmc-hospital-chandigarh
7,VCare Hospital,"Zirakpur, Chandigarh",2,15.0,https://www.practo.com/chandigarh/hospital/vcare-hospital-zirakpur
8,Healing Hospital,"Sector 34, Chandigarh",3,,https://www.practo.com/chandigarh/hospital/inscol-hospital-sector-34-2
9,Eden Hospital,"Industrial Area Phase I, Chandigarh",10,100.0,https://www.practo.com/chandigarh/hospital/eden-hospital-industrial-area-phase-i
10,Healing Hospital,"Sector 34, Chandigarh",1,50.0,https://www.practo.com/chandigarh/hospital/dr-sannidhya-varma-sector-34
11,Bedi Hospital & Infertility Center,"Sector-33, Chandigarh",4,,https://www.practo.com/chandigarh/hospital/bedi-hospital-sector-33-1
12,Dhuper Hospital,"Zirakpur, Chandigarh",1,,https://www.practo.com/chandigarh/hospital/dhuper-hospital-zirakpur
13,Jannee Fertility Centre,"Sector-38, Chandigarh",1,6.0,https://www.practo.com/chandigarh/hospital/dr-navdeep-kaur-sector-65
14,Neeraj Eye Hospital,"Sector 36, Chandigarh",1,,https://www.practo.com/chandigarh/hospital/neeraj-eye-hospital-sco-226-sector-36-d-sector-36
15,Santokh Hospital,"Chandigarh, Chandigarh",1,,https://www.practo.com/chandigarh/hospital/santokh-hospital-chandigarh
16,GROVER EYE LASER HOSPITAL,"Sector 9, Chandigarh",1,,https://www.practo.com/chandigarh/hospital/grover-eye-laser-hospital-sector-9
17,Mangal Nursing Home,"Sector 22, Chandigarh",5,,https://www.practo.com/chandigarh/hospital/mangal-nursing-home-sector-23
18,Pandhi Hospital,"Sector 36, Chandigarh",3,40.0,https://www.practo.com/chandigarh/hospital/pandhi-hospital-sector-36-2
19,Navjot Nursing Home,"Sector 65, Chandigarh",1,,https://www.practo.com/chandigarh/hospital/navjot-nursing-home-sector-65
20,Shrimati Kamla Devi Memorial Charitable Dental Hospital,"Zirakpur, Chandigarh",1,,https://www.practo.com/chandigarh/hospital/shrimati-kamla-devi-memorial-charitable-dental-hospital-zirakpur
21,Sangeeta Nursing Home,"Sector 21, Chandigarh",2,7.0,https://www.practo.com/chandigarh/hospital/sangeeta-nursing-home-sector-21-1
22,Dr RCP Singh Memorial Dental Hospital,"Zirakpur, Chandigarh",1,,https://www.practo.com/chandigarh/hospital/dr-rcp-singh-memorial-dental-hospital-zirakpur
23,Sai Guru Nanak Hospital,"Sector 35, Chandigarh",4,,https://www.practo.com/chandigarh/hospital/sai-guru-nanak-hospital-sector-35
