,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS,LINKS
0,Dr. Mehta's Hospitals,"Chetpet, Chennai",67.0,27.0,https://www.practo.com/chennai/hospital/dr-mehta-s-hospital-1-chetpet
1,Apollo Speciality Hospital,"Vanagaram, Chennai",50.0,50.0,https://www.practo.com/chennai/hospital/apollo-speciality-hospitals-vanagaram
2,Dr. Rabindrans Health Care Centre,"Ambattur, Chennai",12.0,60.0,https://www.practo.com/chennai/hospital/dr-rohit-k-rabindran-health-care-centre-ambattur
3,Parvathi Nursing Home,"KK Nagar, Chennai",6.0,25.0,https://www.practo.com/chennai/hospital/parvathi-nursing-home-kk-nagar1
4,St.Isabel's Hospital,"Mylapore, Chennai",142.0,300.0,https://www.practo.com/chennai/hospital/st-isabel-s-hospital-mylapore
5,Hindu Mission Hospital,"Tambaram West, Chennai",50.0,220.0,https://www.practo.com/chennai/hospital/hindu-mission-hospital-tambaram-tambaram-west
6,Mercury Hospital,"Egmore, Chennai",3.0,30.0,https://www.practo.com/chennai/hospital/mercury-hospital-egmore
7,Chennai Krishna Hospital,"Chromepet, Chennai",4.0,11.0,https://www.practo.com/chennai/hospital/chennai-krishna-hospital-chromepet
8,Fortis Malar Hospital,"Adyar, Chennai",68.0,500.0,https://www.practo.com/chennai/hospital/dr-t-k-neelamekam-vadapalani
9,Dr. Hariharan Diabetes & Heart Care Hospital,"Nanganallur, Chennai",33.0,,https://www.practo.com/chennai/hospital/dr-hariharan-diabetes-heart-care-hospital-nanganallur
10,"Sundaram Medical Foundation, Anna Nagar","Anna Nagar, Chennai",12.0,,https://www.practo.com/chennai/hospital/sundaram-medical-foundation-anna-nagar-2-anna-nagar
11,Radial Ortho Speciality Hospital,"Medavakkam, Chennai",1.0,10.0,https://www.practo.com/chennai/hospital/radial-ortho-speciality-hospital-medavakkam-1
12,Sri Ramachandra Medical Centre,"Porur, Chennai",34.0,,https://www.practo.com/chennai/hospital/sri-ramachandra-medical-centre-mugalivakkam
13,SBS Hospital,"Virugambakkam, Chennai",15.0,,https://www.practo.com/chennai/hospital/sbs-hospital-virugambhakkam
14,Aysha Hospital,"Purasawakkam, Chennai",11.0,,https://www.practo.com/chennai/hospital/aysha-hospital-kilpauk
