,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS,LINKS
0,Max Multi Speciality Centre - Panchsheel Park,"Panchsheel Park, Delhi",95.0,10.0,https://www.practo.com/delhi/hospital/max-multi-speciality-center-panchsheel-park-panchsheel-park
1,Sir Ganga Ram Hospital,"Old Rajendra Nagar, Delhi",264.0,654.0,https://www.practo.com/delhi/hospital/sir-ganga-ram-hospital-delhi-old-rajendra-nagar-1
2,Fortis Hospital,"Vasant Kunj, Delhi",89.0,200.0,https://www.practo.com/delhi/hospital/fortis-flt-lt-rajan-dhall-hospital-vasant-kunj-1
3,Adiva Hospital,"Green Park, Delhi",25.0,15.0,https://www.practo.com/delhi/hospital/adiva-hospital-1-green-park-1
4,Malik Radix Health Care,"Nirman Vihar, Delhi",19.0,50.0,https://www.practo.com/delhi/hospital/malik-radix-health-care-nirman-vihar
5,Blk Super Speciality Hospital,"Pusa Road, Delhi",120.0,650.0,https://www.practo.com/delhi/hospital/blk-hospital-pusa-road
6,Max Super Speciality Hospital,"Saket, Delhi",259.0,250.0,https://www.practo.com/delhi/hospital/max-smart-super-specialty-hospital-saket-2
7,Max Smart Super Speciality Hospital,"Saket, Delhi",97.0,500.0,https://www.practo.com/delhi/hospital/max-smart-super-speciality-hospital-saket
8,Fortis C-DOC Hospital,"Nehru Place, Delhi",26.0,25.0,https://www.practo.com/delhi/hospital/fortis-c-doc-hospital-nehru-place
9,Moolchand Hospital,"Lajpat Nagar, Delhi",89.0,50.0,https://www.practo.com/delhi/hospital/hauz-khas-infertility-clinic-hauz-khas
10,Vimhans PrimaMed Super Speciality Hospital,"Nehru Nagar, Delhi",20.0,90.0,https://www.practo.com/delhi/hospital/vimhans-hospital-qutab-institutional-area
11,St Stephens Hospital,"Tis Hazari, Delhi",93.0,600.0,https://www.practo.com/delhi/hospital/st-stephens-hospital-tis-hazari
12,Nulife Hospital & Maternity Center,"Kingsway Camp, Delhi",14.0,20.0,https://www.practo.com/delhi/hospital/nulife-hospital-kingsway-camp2
13,Fortis Hospital,"Shalimar Bagh, Delhi",51.0,282.0,https://www.practo.com/delhi/hospital/fortis-hospital-5-shalimar-bagh
14,Max Hospital,"Pitampura, Delhi",101.0,120.0,https://www.practo.com/delhi/hospital/max-hospital-pitampura
15,Dr. Shroff's Charity Eye Hospital,"Darya Ganj, Delhi",14.0,56.0,https://www.practo.com/delhi/hospital/dr-shroff-s-charity-eye-hospital-darya-ganj
16,Aastha Hospital & IVF Centre,"Vikas Puri, Delhi",7.0,20.0,https://www.practo.com/delhi/hospital/aastha-hospital-ivf-centre-vikas-puri
17,Dr. Leena N Sreedhar Consultation Chamber,"Moti Nagar, Delhi",1.0,60.0,https://www.practo.com/delhi/hospital/dr-lt-col-leena-n-sreedhar-consultation-chamber
18,Mata Chanan Devi Hospital,"Janak Puri, Delhi",66.0,210.0,https://www.practo.com/delhi/hospital/mata-chanan-devi-hospital-janak-puri
19,Shroff Eye Centre - Kailash Colony,"Kailash Colony, Delhi",21.0,,https://www.practo.com/delhi/hospital/shroff-eye-centre-kailash-colony-kailash-colony
20,Jeewan Mala Hospital,"Karol Bagh, Delhi",5.0,75.0,https://www.practo.com/delhi/hospital/jeewan-mala-hospital-karol-bagh-2
21,Irene Hospital,"Kalkaji, Delhi",18.0,55.0,https://www.practo.com/delhi/hospital/irene-hospital-kalkaji-4
22,Sant Parmanand Hospital,"Civil Lines, Delhi",11.0,153.0,https://www.practo.com/delhi/hospital/sant-parmanand-hospital
23,Dharamshila Hospital,"Vasundhra Enclave, Delhi",21.0,250.0,https://www.practo.com/delhi/hospital/dharamshila-hospital-and-research-centre-vasundhra-enclave
24,Kalra Hospital,"Kirti Nagar, Delhi",17.0,150.0,https://www.practo.com/delhi/hospital/kalra-hospitals-kirti-nagar
25,Saroj Hospital,"Rohini, Delhi",76.0,,https://www.practo.com/delhi/hospital/saroj-hospital-heart-institute-rohini
