,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS,LINKS
0,Hegde Hospital,"Madhapur, Hyderabad",6.0,30.0,https://www.practo.com/hyderabad/hospital/hegde-hospital-madhapur
1,Care Hospital,"Nampally, Hyderabad",43.0,,https://www.practo.com/hyderabad/hospital/care-hospital-nampally-nampally
2,Swapna Health Care,"Begumpet, Hyderabad",10.0,50.0,https://www.practo.com/hyderabad/hospital/swapna-healthcare-somajiguda-kukatpally
3,MaxCure Hospitals,"Madhapur, Hyderabad",30.0,220.0,https://www.practo.com/hyderabad/hospital/maxcure-hospitals-madhapur-2
4,Asian Institute Of Gastroenterology,"Somajiguda, Hyderabad",48.0,,https://www.practo.com/hyderabad/hospital/asian-institute-of-gastroenterology-somajiguda-1-1
5,Himagiri Hospitals,"Gachibowli, Hyderabad",16.0,50.0,https://www.practo.com/hyderabad/hospital/himagiri-hospitals-gachibowli-1
6,Columbus Hospital - Institute Of Psychiatry and Deaddiction,"Begumpet, Hyderabad",5.0,30.0,https://www.practo.com/hyderabad/hospital/columbus-hospital-begumpet-1
7,Continental Hospitals,"Gachibowli, Hyderabad",133.0,750.0,https://www.practo.com/hyderabad/hospital/continental-hospital-gachibowli-1-663465
8,Chetana Hospital,"Secunderabad, Hyderabad",6.0,30.0,https://www.practo.com/hyderabad/hospital/chetana-hospital-secunderabad-1
9,Care Hospitals,"Banjara Hills, Hyderabad",125.0,200.0,https://www.practo.com/hyderabad/hospital/care-hospital-banjara-hills-banjara-hills
10,Sai Krishna Neuro Hospital,"Kachiguda, Hyderabad",16.0,75.0,https://www.practo.com/hyderabad/hospital/sai-krishna-super-speciality-neuro-hospital-kachiguda
11,J J Hospital,"Kalyan Nagar, Hyderabad",13.0,,https://www.practo.com/hyderabad/hospital/j-j-hospital-kalyan-nagar
12,Anupama Hospital,"KPHB, Hyderabad",12.0,10.0,https://www.practo.com/hyderabad/hospital/anupama-hospital-kphb
13,Star Hospitals,"Banjara Hills, Hyderabad",46.0,136.0,https://www.practo.com/hyderabad/hospital/star-hospitals-banjara-hills-3
14,SIMS Hospital,"Serilingampally, Hyderabad",4.0,50.0,https://www.practo.com/hyderabad/hospital/sims-hospital-lingampally
15,Magnas V ENT Hospitals,"Chaitanyapuri, Hyderabad",2.0,,https://www.practo.com/hyderabad/hospital/magnas-v-ent-hospitals-dilsukh-nagar
16,Vishnu Women & Childrens Hospital,"Chanda Nagar, Hyderabad",2.0,,https://www.practo.com/hyderabad/hospital/vishnu-women-childrens-hospital-chanda-nagar
17,LV Prasad,"Banjara Hills, Hyderabad",18.0,,https://www.practo.com/hyderabad/hospital/l-v-prasad-eye-institute-banjara-hills-1-1
18,Pace Hospitals,"Begumpet, Hyderabad",17.0,100.0,https://www.practo.com/hyderabad/hospital/pace-hospitals-best-gastro-liver-kidney-centre-24x7-begumpet
19,Preeti Urology and Kidney Hospital,"Kukatpally, Hyderabad",5.0,75.0,https://www.practo.com/hyderabad/hospital/preeti-urology-and-kidney-hospital-kphb
20,Janapareddy Hospitals,"Sikh Village, Hyderabad",9.0,150.0,https://www.practo.com/hyderabad/hospital/janapareddy-hospitals-secunderabad
21,Aster Prime Hospitals,"Ameerpet, Hyderabad",15.0,250.0,https://www.practo.com/hyderabad/hospital/prime-hospitals-ameerpet-1
22,Pace Hospital,"Hitech City, Hyderabad",16.0,100.0,https://www.practo.com/hyderabad/hospital/pace-hospitals-hitech-city-hitech-city
23,Hyderbad Kidney & Laproscopic Center,"Malakpet, Hyderabad",6.0,100.0,https://www.practo.com/hyderabad/hospital/hyderbad-kidney-center-malakpet
24,Sunshine Hospital,"Secunderabad, Hyderabad",24.0,450.0,https://www.practo.com/hyderabad/hospital/dr-sudheer-nadimpalli-hyderabad
25,Mamatha Hospitals,"Kukatpally, Hyderabad",7.0,120.0,https://www.practo.com/hyderabad/hospital/mamatha-hospitals-kphb
26,Omega Hospital,"Banjara Hills, Hyderabad",25.0,150.0,https://www.practo.com/hyderabad/hospital/omega-hospital-s-banjara-hills-1
27,Sowmya Multispecality Hospital,"Karkhana, Hyderabad",2.0,,https://www.practo.com/hyderabad/hospital/sowmya-multispecality-clinic-karkhana
28,Cygnus Institute Of Gastroenterology,"Kukatpally, Hyderabad",6.0,70.0,https://www.practo.com/hyderabad/hospital/cygnus-institute-of-gastroentrology-miyapur
29,The Birthplace Hospital,"Banjara Hills, Hyderabad",12.0,25.0,https://www.practo.com/hyderabad/hospital/the-birthplace-hospital-banjara-hills-banjara-hills
30,Kamineni Hospitals,"LB Nagar, Hyderabad",65.0,350.0,https://www.practo.com/hyderabad/hospital/kamineni-hospitals-lb-nagar
31,Vanaja Hospital,"AS Rao Nagar, Hyderabad",12.0,25.0,https://www.practo.com/hyderabad/hospital/vanaja-hospital-pragathi-nagar
32,Ramayya Pramila Urology & Laparoscopy Hospital,"Basheerbagh, Hyderabad",3.0,50.0,https://www.practo.com/hyderabad/hospital/ramayya-pramila-urollogy-laparoscopic-hospital-basheerbagh
33,Pranaam Hospital,"Madinaguda, Hyderabad",3.0,100.0,https://www.practo.com/hyderabad/hospital/pranaam-hospital-miyapur
34,Nice Hospital,"Masab Tank, Hyderabad",11.0,120.0,https://www.practo.com/hyderabad/hospital/nice-hospital-for-children-and-new-born-masab-tank
35,Midas ENT Head & Neck Super Speciality Hospital,"Dilsukhnagar, Hyderabad",1.0,100.0,https://www.practo.com/hyderabad/hospital/midas-ent-head-neck-super-speciality-hospital-dilsukh-nagar
36,Landmark Hospitals,"Nizampet, Hyderabad",21.0,100.0,https://www.practo.com/hyderabad/hospital/landmark-hospitals-kukatpally
37,Fehmicare Hospital,"Yousufguda, Hyderabad",6.0,,https://www.practo.com/hyderabad/hospital/fehmicare-hospital-yousufguda
38,Kasturi Multispeciality Hospital,"Secunderabad, Hyderabad",6.0,50.0,https://www.practo.com/hyderabad/hospital/kasturi-multispecialityhospital-secunderabad-1
39,Harsha Hospitals,"Kukatpally, Hyderabad",2.0,,https://www.practo.com/hyderabad/hospital/harsha-hospitals-kukatpally
40,Medwin Hospitals,"Nampally, Hyderabad",34.0,200.0,https://www.practo.com/hyderabad/hospital/medwin-hospitals-nampally-1-644441
41,Kadimi Nursing Home,"Chanda Nagar, Hyderabad",6.0,25.0,https://www.practo.com/hyderabad/hospital/kadimi-nursing-home-chanda-nagar-2
42,Omni Hospitals,"Kothapet, Hyderabad",23.0,250.0,https://www.practo.com/hyderabad/hospital/omni-hospital-dilsukh-nagar
43,Krishna Children's Hospital,"Lakdikapul, Hyderabad",5.0,50.0,https://www.practo.com/hyderabad/hospital/krishna-children-s-hospital-khairatabad
44,Vijaya Hospital,"Madinaguda, Hyderabad",10.0,,https://www.practo.com/hyderabad/hospital/vijaya-hospital-madinaguda-madinaguda
45,Sankhya Hospitals,"Kukatpally, Hyderabad",20.0,50.0,https://www.practo.com/hyderabad/hospital/sankhya-hospitals-kukatpally
46,Mahaveer Hospital,"Masab Tank, Hyderabad",14.0,200.0,https://www.practo.com/hyderabad/hospital/mahavir-hospital-masab-tank-1
47,Sumana Hospital,"Kukatpally, Hyderabad",15.0,50.0,https://www.practo.com/hyderabad/hospital/sumana-hospital-kukatpally
48,Vijay Marie Hospital,"Khairatabad, Hyderabad",13.0,200.0,https://www.practo.com/hyderabad/hospital/vijay-marie-hospital-khairatabad
49,Vijaya Health Care,"Secunderabad, Hyderabad",3.0,100.0,https://www.practo.com/hyderabad/hospital/vijaya-health-care-secunderabad-1
50,Lotus Children Hospitals,"Kukatpally, Hyderabad",3.0,50.0,https://www.practo.com/hyderabad/hospital/lotus-children-hospitals-kukatpally
51,Vasavi Hospital,"Lakdikapul, Hyderabad",14.0,150.0,https://www.practo.com/hyderabad/hospital/vasavi-hospital-khairatabad
52,Orthopedic Doctor- Raghava Hospital,"Ameerpet, Hyderabad",8.0,50.0,https://www.practo.com/hyderabad/hospital/raghava-hospital-ameerpet
53,Aditya Hospital,"Abids, Hyderabad",39.0,,https://www.practo.com/hyderabad/hospital/aditya-hospital-abids-1
54,Owaisi Hospital And Research Centre,"Kanchanbagh, Hyderabad",41.0,,https://www.practo.com/hyderabad/hospital/owaisi-hospital-and-research-centre-kanchanbagh
55,Sri Sri Holistic Hospitals,"Nizampet, Hyderabad",33.0,100.0,https://www.practo.com/hyderabad/hospital/sri-sri-holistic-hospitals-1-kukatpally
56,TKR's Ikon Hospital,"Dilsukhnagar, Hyderabad",7.0,75.0,https://www.practo.com/hyderabad/hospital/icon-hospital-dilsukh-nagar
57,Hedge Fertility Hospital,"Moosarambagh, Hyderabad",2.0,25.0,https://www.practo.com/hyderabad/hospital/hegde-hospital-dilsukh-nagar
58,"Kamineni Orthopaedics, Kingkoti","King Koti, Hyderabad",9.0,200.0,https://www.practo.com/hyderabad/hospital/kamineni-hospitals-hyderguda
59,Pragna Hospitals,"Banjara Hills, Hyderabad",5.0,50.0,https://www.practo.com/hyderabad/hospital/pragna-hospitals-banjara-hills
60,Global Hospital,"Lakdikapul, Hyderabad",25.0,100.0,https://www.practo.com/hyderabad/hospital/global-hospital-lakdikapul-1-lakdikapul
61,Bristlecone Hospitals,"Barkatpura, Hyderabad",36.0,,https://www.practo.com/hyderabad/hospital/bristlecone-hospitals-barkatpura-1
62,C C Shroff Memorial Hospital,"Barkatpura, Hyderabad",10.0,,https://www.practo.com/hyderabad/hospital/c-c-shroff-memorial-hospital-barkatpura
63,Sri Raghavendra Multispeciality Hospital,"Ecil, Hyderabad",12.0,100.0,https://www.practo.com/hyderabad/hospital/raghavendra-super-speciality-hospital-ecil
64,Ramdev Rao Memorial General Hospital,"Kukatpally, Hyderabad",6.0,,https://www.practo.com/hyderabad/hospital/ramdev-rao-memorial-general-hospital-kukatpally
65,SMT. Bhagwan Devi Hospital,"Old City, Hyderabad",4.0,50.0,https://www.practo.com/hyderabad/hospital/bhagawan-devi-hospital-old-city
66,Durgabai Deshmukh Hospital,"Vidyanagar, Hyderabad",8.0,50.0,https://www.practo.com/hyderabad/hospital/durgabai-deshmukh-andhra-mahila-sabha-vidyanagar
