,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS,LINKS
0,Apollo Hospitals,"Vijay Nagar, Indore",2,,https://www.practo.com/indore/hospital/apollo-hospitals-vijay-nagar-vijay-nagar
1,Nihar Netralaya,"Malharganj, Indore",1,,https://www.practo.com/indore/hospital/nihar-netralaya-indore
2,CHL Hospital,"LIG Colony, Indore",4,250.0,https://www.practo.com/indore/hospital/chl-hospital-1-new-palasia
3,Choithram Hospital & Research Centre,"Manikbagh, Indore",3,200.0,https://www.practo.com/indore/hospital/choithram-hospital-research-centre-manikbagh
4,Child Care Hospital,"Tilak Nagar, Indore",1,,https://www.practo.com/indore/hospital/child-care-hospital-indore-tukoganj
5,Shalby Hospital,"Old Palasia, Indore",7,200.0,https://www.practo.com/indore/hospital/shalby-hospital-4-old-palasia
6,Ashadeep Hospital,"Vijay Nagar, Indore",1,25.0,https://www.practo.com/indore/hospital/ashadeep-vijay-nagar
7,One Centre for Gynaecological Excellence,"Vijay Nagar, Indore",1,10.0,https://www.practo.com/indore/hospital/one-centre-for-gynaecological-excellence-vijay-nagar
8,Samar Maternity Home and Malik Sonography Center,"Khajrana, Indore",1,,https://www.practo.com/indore/hospital/samarth-maternity-home-and-malik-sonography-center-khajrana
9,Angel Hospital,"Bengali Square, Indore",2,,https://www.practo.com/indore/hospital/angel-hospital-indore-bengali-square
10,Centre for Sight,"Sapna Sangeeta, Indore",5,,https://www.practo.com/indore/hospital/centre-for-sight-1-sapna-sangeeta
11,Shakuntala Devi Hospital And Research Centre,"Bengali Square, Indore",1,,https://www.practo.com/indore/hospital/shakuntala-devi-hospital-and-reseach-center-bengali-square
12,Dr. Hardia Eye Hospital,"Chhavni, Indore",1,,https://www.practo.com/indore/hospital/dr-hardia-eye-hospital-indore-1
13,Greater Kailash Hospital,"Old Palasia, Indore",1,,https://www.practo.com/indore/hospital/greater-kailash-hospital-old-palasia-1
14,Neoretina Hospital,"AB Road, Indore",1,,https://www.practo.com/indore/hospital/neoretina-hospital-ab-road
15,Indira Memorial Hospital,"Rajendra Nagar, Indore",1,,https://www.practo.com/indore/hospital/indira-memorial-hospital-rajendra-nagar-2
16,Medanta Superspeciality Hospital,"Vijay Nagar, Indore",1,150.0,https://www.practo.com/indore/hospital/medanta-hospital-vijay-nagar
17,Akole Nursing Home,"Indore Pardesipura, Indore",1,,https://www.practo.com/indore/hospital/akole-nursing-home-indore-pardesipura
18,Apollo Hospitals,"Vijay Nagar, Indore",1,,https://www.practo.com/indore/hospital/apollo-hospitals-vijay-nagar
19,Gokuldas Open Heart Hospital,"Indore Tukoganj, Indore",2,,https://www.practo.com/indore/hospital/gokuldas-open-heart-hospital-indore
20,Gokuldas Hospital,"Indore Tukoganj, Indore",1,,https://www.practo.com/indore/hospital/gokuldas-hospital-new-palasia
21,Medicare Hospital & Research Centre,"Old Palasia, Indore",1,,https://www.practo.com/indore/hospital/medi-care-hospital-research-centre-old-palasia
22,Nirmal Eye Hospital,"Pipliyahana, Indore",1,,https://www.practo.com/indore/hospital/nirmal-eye-hospital-pipliyahana
23,Jeevan Jyoti Eye Hospital,"AB Road, Indore",1,,https://www.practo.com/indore/hospital/jeevan-jyoti-eye-hospital-ab-road
24,Centre for Sight,"Vijay Nagar, Indore",5,,https://www.practo.com/indore/hospital/centre-for-sight-6
25,Shiv Parvati Memorial Charitable Hospital,"Chhavni, Indore",1,,https://www.practo.com/indore/hospital/shiv-parvati-memorial-charitable-hospital
