,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS,LINKS
0,Vivan Hospital for Sexual Health,"Vaishali Nagar, Jaipur",4.0,,https://www.practo.com/jaipur/hospital/vivan-hospital-for-sexual-health-vaishali-nagar
1,Bhandari Hospital,"Gopalpura, Jaipur",14.0,100.0,https://www.practo.com/jaipur/hospital/bhandari-hospital-and-research-centre-gopalpura
2,Shree Sumangal Poly Clinic & Hospital,"Durgapura, Jaipur",2.0,10.0,https://www.practo.com/jaipur/hospital/kothari-clinic-sodala
3,Chandrabhan Hospital And Maternity Center,"Sodala, Jaipur",2.0,15.0,https://www.practo.com/jaipur/hospital/chandrabhan-hospital-sodala
4,Narayana Multispeciality Hospital,"Amer, Jaipur",7.0,290.0,https://www.practo.com/jaipur/hospital/narayana-multispeciality-hospital-amer
5,Physiotherapy Healing Centre,"Vidhyadhar Nagar, Jaipur",3.0,,https://www.practo.com/jaipur/hospital/soni-manipal-hospital-vidhyadhar-nagar
6,Agarwal Hospital & Fertility Centre,"Vaishali Nagar, Jaipur",1.0,15.0,https://www.practo.com/jaipur/hospital/agarwal-hospital-and-fertility-centre-vaishali-nagar
7,Salasar Child Hospital,"Dehar Ka Balaji, Jaipur",1.0,10.0,https://www.practo.com/jaipur/hospital/salasar-child-hospital-dehar-ka-balaji
8,CK Birla Hospitals | RBH,"Gopalpura, Jaipur",6.0,260.0,https://www.practo.com/jaipur/hospital/ck-birla-hospital-rbh-gopalpura
9,Goyal General Hospital,"Sodala, Jaipur",2.0,25.0,https://www.practo.com/jaipur/hospital/goyal-general-hospital-1
10,Apollo Spectra Hospitals,"C Scheme, Jaipur",13.0,40.0,https://www.practo.com/jaipur/hospital/apollo-spectra-hospitals-jaipur-c-scheme
11,Jivisha Ortho Hospital,"Nirman Nagar, Jaipur",1.0,25.0,https://www.practo.com/jaipur/hospital/jivisha-ortho-hospital-nirman-nagar
12,Metro Mas Hospital,"Mansarovar, Jaipur",6.0,,https://www.practo.com/jaipur/hospital/metro-mas-hospital-mansarovar
13,Manipal Hospital,"Vidhyadhar Nagar, Jaipur",32.0,251.0,https://www.practo.com/jaipur/hospital/manipal-hospital-jaipur-vidhyadhar-nagar
14,Fortis Escorts Hospital,"Malviya Nagar, Jaipur",6.0,,https://www.practo.com/jaipur/hospital/fortis-escorts-hospital-malviya-nagar-1
15,Dana Shivam Hospital,"Vidhyadhar Nagar, Jaipur",1.0,100.0,https://www.practo.com/jaipur/hospital/dana-shivam-hospital-1-vidhyadhar-nagar
16,Monilek Hospital and Research Centre,"Jawahar Nagar, Jaipur",2.0,100.0,https://www.practo.com/jaipur/hospital/arthroscopy-and-joint-replacement-jawahar-nagar
17,K.M.S. Hospital,"Tilak Nagar, Jaipur",2.0,34.0,https://www.practo.com/jaipur/hospital/k-m-s-hospital
18,Om Mother N Child Hospital,"Murlipura, Jaipur",2.0,25.0,https://www.practo.com/jaipur/hospital/om-mother-n-child-hospital
19,ASG Eye Hospitals,"Mansarovar, Jaipur",1.0,,https://www.practo.com/jaipur/hospital/asg-eye-hospitals-1-mansarovar
20,Dr. N M Saboo Memorial Hospital & Research Hospital,"Murlipura, Jaipur",1.0,20.0,https://www.practo.com/jaipur/hospital/n-m-sabu-memorial-hospital
21,Poddar Hospital,"Chandpole Bazar, Jaipur",3.0,,https://www.practo.com/jaipur/hospital/poddar-hospital-chandpole-bazar
22,Santokba Durlabhji Memorial Hospital,"Bhawani, Jaipur",3.0,,https://www.practo.com/jaipur/hospital/dr-s-s-soni-sdmh-s-d-m-hospitial
23,Royal Eye Care Hospital,"Adarsh Nagar, Jaipur",1.0,25.0,https://www.practo.com/jaipur/hospital/royal-eye-care-hospital
24,Capital Urology Hospital,"Panch Batti, Jaipur",1.0,,https://www.practo.com/jaipur/hospital/capital-urology-hospital-panch-batti
25,JNU Hospital,"Jagatpura, Jaipur",1.0,,https://www.practo.com/jaipur/hospital/plastic-surgery-clinic-4-jagatpura
26,Bansal Hospital,"Shyam Nagar, Jaipur",1.0,15.0,https://www.practo.com/jaipur/hospital/bansal-hospital-12
27,Chirayu Hospital,"Boraj, Jaipur",1.0,,https://www.practo.com/jaipur/hospital/chirayu-hospital-boraj
28,Dr Saraswat Dental Hospital,"Vaishali Nagar, Jaipur",1.0,,https://www.practo.com/jaipur/hospital/dr-saraswat-dental-hospital-vaishali-nagar-2
29,Zenana Hospital,"Chandpole Bazar, Jaipur",1.0,,https://www.practo.com/jaipur/hospital/zenana-hospital-chandpol-jaipur-chandpole-bazar
30,Antra Hospital,"Jawahar Nagar, Jaipur",1.0,15.0,https://www.practo.com/jaipur/hospital/antra-hospital
31,Dhanwantri Hospital,"Mansarovar, Jaipur",1.0,,https://www.practo.com/jaipur/hospital/dhanwantri-hospital-mansarovar
32,Babylon Children's Hospital,"Adarsh Nagar, Jaipur",2.0,,https://www.practo.com/jaipur/hospital/dr-dhananjay-mangal-adarsh-nagar
33,Satellite Hospital,"Bani Park, Jaipur",1.0,,https://www.practo.com/jaipur/hospital/satellite-hospital-bani-park
34,Centre For Sight,"Malviya Nagar, Jaipur",4.0,,https://www.practo.com/jaipur/hospital/centre-for-sight-5
35,Sarvopari Dental and ENT Hospital,"Jagatpura, Jaipur",1.0,10.0,https://www.practo.com/jaipur/hospital/sarvopari-dental-and-ent-hospital-jagatpura
