,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS,LINKS
0,Sri Aravindo Sevakendra,"Jodhpur Park, Kolkata",34,,https://www.practo.com/kolkata/hospital/sri-aravindo-sevakendra-jodhpur-park
1,AMRI Hospital,"Mukundapur, Kolkata",2,,https://www.practo.com/kolkata/hospital/dr-abhijit-das
2,Charnock Hospital,"Teghoria, Kolkata",15,5.0,https://www.practo.com/kolkata/hospital/charnock-hospital-solitaire-opd-teghoria
3,Amri Hospitals,"Salt Lake, Kolkata",21,210.0,https://www.practo.com/kolkata/hospital/amri-hospitals-salt-lake-salt-lake
4,Woodlands Multispeciality Hospital,"Alipore, Kolkata",14,100.0,https://www.practo.com/kolkata/hospital/woodlands-multispeciality-hospital-alipore-1
5,Bhagirathi Neotia Woman & Child Care Centre,"Park Street, Kolkata",9,,https://www.practo.com/kolkata/hospital/bhagirathi-neotia-woman-child-care-centre-circus-avenue
6,Columbia Asia Hospitals,"Salt Lake, Kolkata",16,100.0,https://www.practo.com/kolkata/hospital/gd-hospital-sealdah
7,Vision Care Hospital-Mukundapur,"Mukundapur, Kolkata",3,,https://www.practo.com/kolkata/hospital/vision-care-hospital-mukundapur-mukundapur
8,Apollo Gleneagles Hospitals,"Salt Lake, Kolkata",18,510.0,https://www.practo.com/kolkata/hospital/apollo-gleneagles-hospitals-salt-lake-1
9,Rabindranath Tagore International Institute of Cardiac Sciences,"Mukundapur, Kolkata",11,,https://www.practo.com/kolkata/hospital/rabindranath-tagore-international-institute-of-cardiac-sciences-and-armenian-church-trauma-center15-santoshpur
10,Genesis Hospital,"Kasba, Kolkata",2,5.0,https://www.practo.com/kolkata/hospital/genesis-hospital-kasba
11,EEDF Hospital,"Jodhpur Park, Kolkata",2,130.0,https://www.practo.com/kolkata/hospital/eedf-hospital-jodhpur-park
12,IRIS Hospital,"Baghajatin, Kolkata",10,100.0,https://www.practo.com/kolkata/hospital/iris-hospital-82-1-raja-s-c-mullick-road-gangul-kolkatta
13,RUBY Hospital,"Kasba, Kolkata",14,100.0,https://www.practo.com/kolkata/hospital/amri-vision-care-hospital-mukundapur
14,Belle Vue Clinic,"Minto Park, Kolkata",29,6.0,https://www.practo.com/kolkata/hospital/belle-vue-clinic-8-minto-park
15,Nightingale Hospital,"Shakespeare Sarani, Kolkata",1,,https://www.practo.com/kolkata/hospital/nightingale-hospital-shakespeare-sarani
16,National Neurosciences Centre,"Panchasayar, Kolkata",2,,https://www.practo.com/kolkata/hospital/national-neurosciences-centre-panchasayar
17,ILS Hospital,"Salt Lake, Kolkata",7,,https://www.practo.com/kolkata/hospital/ils-hospital-salt-lake-1
18,Disha Eye Hospital,"Barrackpore, Kolkata",3,5.0,https://www.practo.com/kolkata/hospital/disha-eye-hospital-barrackpore
19,AMRI Hospital,"Dhakuria, Kolkata",15,1000.0,https://www.practo.com/kolkata/hospital/amri-dhakuria
20,Rabindranath Tagore Surgical Centre Hiland Park,"Garia, Kolkata",1,8.0,https://www.practo.com/kolkata/hospital/aesthetica-dental-implant-cliniq-medica-hospital-mukundapur
21,Nehru Memorial Techno Global Hospital,"Barrackpore, Kolkata",1,,https://www.practo.com/kolkata/hospital/nehru-memorial-techno-global-hospital-barasat
22,Hindustan Health Point,"Garia, Kolkata",64,100.0,https://www.practo.com/kolkata/hospital/hindustan-health-point-garia-bt-2
23,North City Hospital,"Ultadanga, Kolkata",9,110.0,https://www.practo.com/kolkata/hospital/north-city-hospital-ultadanga-2
24,Apex General Hospital,"Baguihati, Kolkata",2,,https://www.practo.com/kolkata/hospital/apex-general-hospital-1-baguihati
25,Narayana Multispeciality Hospital,"Barasat, Kolkata",3,145.0,https://www.practo.com/kolkata/hospital/narayana-multispeciality-hospital-barasat
26,Sahid Khudiram Bose Hospital,"Belgharia, Kolkata",1,60.0,https://www.practo.com/kolkata/hospital/sahid-khudiram-bose-hospital-oncology-belgharia
27,Binayak Multispeciality Hospital,"Dumdum, Kolkata",10,100.0,https://www.practo.com/kolkata/hospital/binayak-multi-speciality-hospital-dumdum
28,B P Poddar Hospital & Medical Research,"New Alipore, Kolkata",7,205.0,https://www.practo.com/kolkata/hospital/b-p-poddar-hospital-medical-research-new-alipore
29,Ohio Hospital,"New Town, Kolkata",3,370.0,https://www.practo.com/kolkata/hospital/new-town-ohio-hospital-laparoscopy-surgeon-new-town
30,SVS Marwari Hospital,"Raja Ram Mohan Sarani, Kolkata",1,150.0,https://www.practo.com/kolkata/hospital/svs-marwari-hospital-mg-road
31,Birati Municipal Hospital,"Dumdum, Kolkata",1,75.0,https://www.practo.com/kolkata/hospital/birati-municipal-hospital-dumdum
32,ILS Hospitals,"Dumdum Road, Kolkata",10,130.0,https://www.practo.com/kolkata/hospital/ils-hospitals-dumdum-road
33,Renaissance Hospital - Dr B Choudhuri's Clinic,"Teghoria, Kolkata",1,96.0,https://www.practo.com/kolkata/hospital/renaissance-hospital-and-polyclinic-teghoria-1
