,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS,LINKS
0,Radius Joint Surgery Hospital,"Gomtinagar, Lucknow",1.0,25.0,https://www.practo.com/lucknow/hospital/radius-joint-surgery-hospital-gomtinagar
1,Rajendra Nagar Hospital,"Rajendranagar, Lucknow",2.0,13.0,https://www.practo.com/lucknow/hospital/rajendra-nagar-hospital-rajendranagar-1
2,Nirvan Hospital,"Indira Nagar, Lucknow",1.0,50.0,https://www.practo.com/lucknow/hospital/nirvan-hospital-ismailganj
3,Medox Hospital,"Jankipuram, Lucknow",2.0,40.0,https://www.practo.com/lucknow/hospital/medox-hospital-aliganj-extension
4,Shriram Memorial Hospital,"Indira Nagar, Lucknow",30.0,,https://www.practo.com/lucknow/hospital/shriram-memorial-hospital-indira-nagar
5,Adarsh Hospital and welfare center,"Ashiyana, Lucknow",1.0,15.0,https://www.practo.com/lucknow/hospital/adarsh-hospital-welfare-centre-ashiyana
6,Adarsh Hospital,"Jankipuram Extension, Lucknow",3.0,25.0,https://www.practo.com/lucknow/hospital/adarsh-hospital-1-jankipuram-extension
7,St. Joseph's Hospital,"Gomtinagar, Lucknow",2.0,180.0,https://www.practo.com/lucknow/hospital/st-joseph-s-hospital-gomtinagar
8,Jwala Hospital,"Indira Nagar, Lucknow",1.0,15.0,https://www.practo.com/lucknow/hospital/jwala-hospital-indira-nagar-1
9,Dhanraj Hospital,"Mahanagar, Lucknow",3.0,10.0,https://www.practo.com/lucknow/hospital/dhanraj-hospital-mahanagar-6
10,Skin And Hair Hospital,"Hazratganj, Lucknow",2.0,,https://www.practo.com/lucknow/hospital/dr-gupta-s-skin-and-hair-clinic-hazratganj
11,Neera Hospital,"Mahanagar, Lucknow",3.0,160.0,https://www.practo.com/lucknow/hospital/neera-hospital
12,Devishiv Hospital,"Mahanagar, Lucknow",2.0,25.0,https://www.practo.com/lucknow/hospital/devishiv-hospital-mahanagar-1
13,Raghvansh Hospital,"Kalyanpur, Lucknow",1.0,5.0,https://www.practo.com/lucknow/hospital/raghwansh-hospital
14,Gomti Hospital & Maternity Centre,"Chowk, Lucknow",2.0,10.0,https://www.practo.com/lucknow/hospital/gomti-hospital-maternity-centre
15,Pooja Nursing Home,"Paharpur, Lucknow",1.0,10.0,https://www.practo.com/lucknow/hospital/pooja-nursing-home-1-paharpur
16,Krishna Medical Centre,"Hazratganj, Lucknow",5.0,,https://www.practo.com/lucknow/hospital/krishna-medical-centre-sarojini-nagar
17,Vivekananda Polyclinic & Institute Of Medical Sciences,"Niralanagar, Lucknow",15.0,350.0,https://www.practo.com/lucknow/hospital/vivekananda-polyclinic-institute-of-medical-sciences-lucknow
18,Sewa Hospital and Research Centre,"Aliganj, Lucknow",25.0,,https://www.practo.com/lucknow/hospital/sewa-hospital-research-center-lucknow
19,Charak Hospital,"Dubagga, Lucknow",1.0,300.0,https://www.practo.com/lucknow/hospital/charak-hospital-dubagga
20,Priya Nursing Home,"Indira Nagar, Lucknow",1.0,,https://www.practo.com/lucknow/hospital/priya-nursing-home-indira-nagar
21,Vatsalya Hospital,"Gomtinagar, Lucknow",1.0,,https://www.practo.com/lucknow/hospital/vatsalya-hospital-3-gomtinagar
22,Lucknow Unani Hospital,"Mahanagar, Lucknow",1.0,2.0,https://www.practo.com/lucknow/hospital/lucknow-unani-hospital-mahanagar
23,Child Care Nursing Home,"Amberganj, Lucknow",1.0,,https://www.practo.com/lucknow/hospital/child-care-nursing-home-lucknow-chowk
24,PANKAJ E.N.T. HOSPITAL,"Alambagh, Lucknow",1.0,,https://www.practo.com/lucknow/hospital/pankaj-ent-hospital-alambagh
25,Health Point Hospital,"Thakurganj, Lucknow",3.0,15.0,https://www.practo.com/lucknow/hospital/health-point-hospital-thakurganj
26,Sahara Hospital,"Gomtinagar, Lucknow",1.0,,https://www.practo.com/lucknow/hospital/sahara-hospital-gomtinagar
27,Sahara Hospital,"Gomtinagar, Lucknow",1.0,,https://www.practo.com/lucknow/hospital/sahara-hospital-gomtinagar-1
28,"Eye Q Super Speciality Eye Hospitals, Vijaynagar","Krishna Nagar, Lucknow",1.0,,https://www.practo.com/lucknow/hospital/eye-q-super-speciality-eye-hospitals-2-krishna-nagar
29,Satyam Nursing Home,"Aishbagh, Lucknow",1.0,,https://www.practo.com/lucknow/hospital/satyam-nursing-home-aishbagh
30,Rajdhani Hospital,"Sgpgi, Lucknow",1.0,,https://www.practo.com/lucknow/hospital/rajdhani-hospital-sgpgi
31,Career Medical College & Hospital,"Ghaila, Lucknow",1.0,,https://www.practo.com/lucknow/hospital/career-medical-college-hospital-ghaila
32,Shree Pran Nath Ji Chikitsalaya,"Kalyanpur, Lucknow",1.0,,https://www.practo.com/lucknow/hospital/shree-pran-nath-ji-chikitsalaya-kalyanpur
33,Lucknow Metro Hospital,"Gomtinagar, Lucknow",3.0,,https://www.practo.com/lucknow/hospital/lucknow-metro-hospital-gomtinagar
34,Globe Hospital,"Alamnagar, Lucknow",1.0,,https://www.practo.com/lucknow/hospital/globe-hospital
35,Urmila Hospital,"Fazullaganj, Lucknow",1.0,,https://www.practo.com/lucknow/hospital/urmila-hospital-aliganj
36,Harsh Hospital,"Sector-c Sitapur Rd, Lucknow",1.0,,https://www.practo.com/lucknow/hospital/harsh-hospital
37,Life Care Hospital,"Sector-c Sitapur Rd, Lucknow",3.0,10.0,https://www.practo.com/lucknow/hospital/life-care-hospital-7
38,Vishal Hospital And Heart Center,"Jankipuram, Lucknow",2.0,,https://www.practo.com/lucknow/hospital/vishal-hospital-and-heart-center-sector-c-sitapur-rd
39,New Lucknow Hospital,"Aliganj sector C, Lucknow",1.0,,https://www.practo.com/lucknow/hospital/new-lucknow-hospital
40,Rajaram Hospital,"Alambagh, Lucknow",1.0,,https://www.practo.com/lucknow/hospital/rajaram-hospital-l-d-a-colony
41,Alamnagar Hospital,"Alamnagar, Lucknow",1.0,,https://www.practo.com/lucknow/hospital/alamnagar-hospital
42,Lucknow Hospital,"Krishna Nagar, Lucknow",2.0,,https://www.practo.com/lucknow/hospital/lucknow-hospital
