,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS,LINKS
0,Suchak Hospital,"Malad, Mumbai",8.0,60.0,https://www.practo.com/mumbai/hospital/suchak-hospital-malad-1
1,Hinduja Hospital,"Mahim, Mumbai",148.0,50.0,https://www.practo.com/mumbai/hospital/hindujahospital-mahim
2,Dr. LH Hiranandani Hospital,"Powai, Mumbai",187.0,50.0,https://www.practo.com/mumbai/hospital/dr-l-h-hiranandani-hospital-powai1
3,Fortis Hospital,"Mulund West, Mumbai",117.0,261.0,https://www.practo.com/mumbai/hospital/fortis-hospitals-limited-mulund-west
4,Lilavati Hospital and Research Centre,"Bandra West, Mumbai",197.0,,https://www.practo.com/mumbai/hospital/lilavati-hospital-and-research-centre-bandra-west
5,Godrej Memorial Hospital,"Vikhroli, Mumbai",105.0,110.0,https://www.practo.com/mumbai/hospital/godrej-memorial-hospital-vikhroli
6,Parakh Hospital,"Ghatkopar East, Mumbai",83.0,80.0,https://www.practo.com/mumbai/hospital/parakh-hospital-ghatkopar-east
7,Joy Hospital,"Chembur, Mumbai",8.0,,https://www.practo.com/mumbai/hospital/joy-hospital-chembur
8,Breach Candy Hospital,"Breach Candy, Mumbai",136.0,65.0,https://www.practo.com/mumbai/hospital/breach-candy-hospital-2
9,Om Sai Baba Hospital,"Chembur East, Mumbai",7.0,15.0,https://www.practo.com/mumbai/hospital/om-sai-baba-hospital-chembur-east
10,Bhatia  Hospital,"Tardeo, Mumbai",205.0,209.0,https://www.practo.com/mumbai/hospital/bhatia-hospital-grant-road-1-666080
11,Kokilaben Dhirubhai Ambani Hospital,"Andheri West, Mumbai",42.0,,https://www.practo.com/mumbai/hospital/kokilaben-dhirubhai-ambani-hospital-andheri-west-2
12,S L Raheja Fortis Hospital,"Mahim, Mumbai",158.0,140.0,https://www.practo.com/mumbai/hospital/s-l-raheja-hospitals-mahim-1
13,Wockhardt Hospital,"Mira Road, Mumbai",48.0,,https://www.practo.com/mumbai/hospital/umrao-hospital-mira-road
14,Shushrusha Citizens' Co-operative Hospital,"Shivaji Park, Mumbai",132.0,,https://www.practo.com/mumbai/hospital/shushrusha-hospital-opd-7-pm-dadar-west
15,Jaslok Hospital,"Peddar Road, Mumbai",27.0,364.0,https://www.practo.com/mumbai/hospital/jaslok-hospital-peddar-road
16,Juvekars Nursing Home,"Chembur, Mumbai",2.0,,https://www.practo.com/mumbai/hospital/juvekars-nursing-home-chembur
17,Bhaktivedanta Hospital,"Mira Road, Mumbai",40.0,,https://www.practo.com/mumbai/hospital/bhaktivedanta-hospital-mira-road
18,BSES MG Hospital,"Andheri West, Mumbai",65.0,100.0,https://www.practo.com/mumbai/hospital/bses-mg-hospital-andheriwest-1-649193
19,Swastik Hospital,"Chembur East, Mumbai",22.0,,https://www.practo.com/mumbai/hospital/swastik-hospital-chembur-east
20,Saraogi Hospital,"Malad West, Mumbai",3.0,15.0,https://www.practo.com/mumbai/hospital/saraogi-hospital-iris-ivf-endoscopy-centre-malad-west
21,Lifewave Hospital,"Malad East, Mumbai",11.0,15.0,https://www.practo.com/mumbai/hospital/lifewave-hospital-malad
22,Surya Mother and Child Super Speciality Hospital,"Santacruz West, Mumbai",48.0,70.0,https://www.practo.com/mumbai/hospital/surya-mother-and-child-care-santacruz-west
23,Apex Hospital,"Borivali West, Mumbai",42.0,,https://www.practo.com/mumbai/hospital/apex-hospital-borivali-west
24,Dr Agashe's Maternity And Surgical Nursing Home,"Kurla West, Mumbai",2.0,20.0,https://www.practo.com/mumbai/hospital/dr-agashe-s-maternity-and-surgical-nursing-home-kurla
25,Masina Hospital ,"Byculla, Mumbai",121.0,232.0,https://www.practo.com/mumbai/hospital/masina-hospital-byculla-1
26,Sanjeevani Surgical & General Hospital,"Malad East, Mumbai",22.0,,https://www.practo.com/mumbai/hospital/sanjeevani-surgical-general-hospital-malad-east
27,Holy Spirit Hospital,"Andheri East, Mumbai",32.0,300.0,https://www.practo.com/mumbai/hospital/holy-spirit-hospital-andheri-east-1
28,Aastha Health Care,"Mulund West, Mumbai",19.0,50.0,https://www.practo.com/mumbai/hospital/aastha-health-care-mulund-west-1
29,The Childrens Hospital Mumbai,"Malad West, Mumbai",14.0,12.0,https://www.practo.com/mumbai/hospital/the-childrens-hospital-mumbai-malad
30,Axis Multispecialty Hospital,"Andheri West, Mumbai",19.0,20.0,https://www.practo.com/mumbai/hospital/axis-multispeciality-hospital-andheri-west-1
31,National Hospital,"Borivali East, Mumbai",5.0,,https://www.practo.com/mumbai/hospital/national-hospital-borivali-east
32,Asian Heart Hospital,"Bandra East, Mumbai",23.0,,https://www.practo.com/mumbai/hospital/asian-heart-hospital-bandra-east
33,Ramakrishna Mission Hospital,"Khar West, Mumbai",46.0,,https://www.practo.com/mumbai/hospital/ramakrishna-mission-hospital-khar-west
34,Bhartiya Arogya Nidhi Hospital,"Juhu, Mumbai",17.0,5.0,https://www.practo.com/mumbai/hospital/bhartiya-arogya-nidhi-hospital-juhu-1
35,Belle Vue Multispeciality Hospital,"Andheri, Mumbai",23.0,,https://www.practo.com/mumbai/hospital/belle-vue-multispeciality-hospital-andheri-west
36,Srijan The Fertility Centre & Women Care Hospital,"Borivali West, Mumbai",1.0,15.0,https://www.practo.com/mumbai/hospital/srijan-the-fertility-centre-women-care-hospital-borivali-west
37,Aditi Hospital,"Mulund West, Mumbai",6.0,4.0,https://www.practo.com/mumbai/hospital/aditi-hospital-mulund-west-mulund-west
38,Raksha Hospital,"Malad West, Mumbai",8.0,35.0,https://www.practo.com/mumbai/hospital/raksha-hospital-malad-west-2
39,Sanchaiti Superspeciality Hospital,"Kandivali East, Mumbai",13.0,27.0,https://www.practo.com/mumbai/hospital/dr-jaideep-mankani-s-clinic-kandivali-east-1
