,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS,LINKS
0,Vatsalya Mamta Fertility Centre,"Patliputra, Patna",1.0,36.0,https://www.practo.com/patna/hospital/vatsalya-mamta-fertility-centre-patliputra-2
1,Shrinivas Hospital,"Kankarbagh, Patna",2.0,50.0,https://www.practo.com/patna/hospital/shrinivas-hospital-kankarbagh
2,Ortho World,"Kankarbagh, Patna",1.0,50.0,https://www.practo.com/patna/hospital/maryam-hospital-and-orthopaedic-research-centre-kankarbagh
3,State Cancer Institute,"Sheikhpura, Patna",1.0,400.0,https://www.practo.com/patna/hospital/state-cancer-institute-igims-patna-patna-sectt
4,Divya Arogyam Nature Cure Hospital,"Ashiananagar, Patna",1.0,,https://www.practo.com/patna/hospital/divya-arogyam-nature-cure-hospital-ashiananagar
5,Patliputra Hospital and Research Centre Pvt. Ltd.,"Kumhrar, Patna",1.0,,https://www.practo.com/patna/hospital/patliputra-hospital-and-research-centre-pvt-ltd-patna
6,Chakore Nursing Home,"Rajendra Nagar, Patna",1.0,,https://www.practo.com/patna/hospital/chakore-nursing-home-rajendra-nagar
7,Netra Nidan,"Kankad Bagh, Patna",1.0,,https://www.practo.com/patna/hospital/netra-nidan-kankarbagh
8,Raj Diabetic care and Research Centre,"Kankarbagh, Patna",1.0,,https://www.practo.com/patna/hospital/raj-diabetic-care-and-research-centre-kankarbagh
9,Sinha Skin Hospital,"Punaichak, Patna",1.0,,https://www.practo.com/patna/hospital/sinha-skin-hospital-patan
10,Asam Ortho Hospital,"P.M.C.H, Patna",2.0,46.0,https://www.practo.com/patna/hospital/asam-ortho-hospital-pvt-ltd-bhikhana-pahari
11,Alka Hospital,"Rukunpura, Patna",1.0,,https://www.practo.com/patna/hospital/alka-hospital-rukunpura
12,Raj Retina & Eye Care Centre,"Patna, Patna",2.0,5.0,https://www.practo.com/patna/hospital/raj-retina-eye-care-centre
13,Mahavir Vatsalya Aspataal,"Kurji Md. Pur, Patna",1.0,120.0,https://www.practo.com/patna/hospital/mahavir-vatsalya-aspataal-patna-kurji-md-pur
14,Kumar Dental Hospital And Reserach Centre,"Kankarbagh, Patna",1.0,,https://www.practo.com/patna/hospital/kumar-dental-hospital-and-reserach-centre-kankarbagh
15,Avadh Eye Hospital,"Kankarbagh, Patna",1.0,20.0,https://www.practo.com/patna/hospital/avadh-eye-hospital-kankarbagh
16,Oshodhara Mother and Child Hospital Pvt Ltd,"Kankarbagh, Patna",1.0,20.0,https://www.practo.com/patna/hospital/oshodhara-mother-and-child-hospital-pvt-ltd-kankarbagh
17,Sinha Skin Hospital,"Chiraiyatand, Patna",1.0,,https://www.practo.com/patna/hospital/sinha-skin-hospital-patan-1
18,Magadh Hospital- Patna,"Rajendra Nagar, Patna",1.0,,https://www.practo.com/patna/hospital/magadh-hospital-patna-rajendra-nagar
19,Balaji Hospital,"Sri Krishnapuri, Patna",2.0,,https://www.practo.com/patna/hospital/balaji-hospital-sri-krishnapuri
20,Sudha Nursing Home,"Pachhim Darwaza, Patna",1.0,,https://www.practo.com/patna/hospital/sudha-nursing-home-2-1
21,Hari Narayan Memorial Surgical & meternity Center ,"Danapur Cantt, Patna",1.0,,https://www.practo.com/patna/hospital/hari-narayan-memorial-surgical-meternity-center
22,Hope Child Care Hospital,"Kankad Bagh, Patna",1.0,,https://www.practo.com/patna/hospital/hope-child-care-hospital
23,Nalanda Maternity Centre,"Patna, Patna",1.0,,https://www.practo.com/patna/hospital/nalanda-maternity-centre
24,Lilawati Hospital,"Pahari, Patna",1.0,,https://www.practo.com/patna/hospital/lilawati-hospital-4
25,Sri Satya Sai  maternity Home,"Tripolia, Patna",,,https://www.practo.com/patna/hospital/sri-satya-sai-maternity-home
