,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS,LINKS
0,Noble Hospital,"Hadapsar, Pune",61.0,341.0,https://www.practo.com/pune/hospital/noble-hospital-hadapsar-1-1
1,Rhythm Healthcare,"Pimple Saudagar, Pune",2.0,6.0,https://www.practo.com/pune/hospital/rhythm-health-care-pimple-saudagar
2,Sahyadri Hospitals,"Deccan Gymkhana, Pune",33.0,200.0,https://www.practo.com/pune/hospital/sahyadri-hospital-deccan-gymkhana-1
3,Lifeline Orthopaedic & Eye Care Clinic,"Aundh, Pune",2.0,8.0,https://www.practo.com/pune/hospital/lifeline-hospital-aundh-1
4,Galaxy Hospital,"Pimple Saudagar, Pune",2.0,10.0,https://www.practo.com/pune/hospital/galaxy-maternity-ent-hospital-pimple-saudagar
5,Shashwat Hospital,"Kothrud, Pune",58.0,30.0,https://www.practo.com/pune/hospital/shashwat-hospital-kothrud
6,Deenanath Mangeshkar Hospital,"Erandwane, Pune",65.0,700.0,https://www.practo.com/pune/hospital/deenanath-mangeshkar-hospital-erandwane-1
7,Omkar Khalane Hospital,"Pimple Saudagar, Pune",5.0,25.0,https://www.practo.com/pune/hospital/omkar-khalane-hospital-pimple-saudagar-1
8,Shashwat Hospital,"Aundh, Pune",26.0,60.0,https://www.practo.com/pune/hospital/shashwat-hospital-aundh-aundh
9,Rising Medicare Hospital,"Kharadi, Pune",7.0,15.0,https://www.practo.com/pune/hospital/bharati-hospital-kharadi
10,Lotus Multispeciality Hospital,"Pimple Saudagar, Pune",11.0,40.0,https://www.practo.com/pune/hospital/dr-shiv-agarwal-chinchwad
11,Columbia Asia Hospital,"Kharadi, Pune",18.0,50.0,https://www.practo.com/pune/hospital/columbia-asia-hospital-kharadi-2
12,Apollo Jehangir Hospital,"Bund Garden, Pune",45.0,,https://www.practo.com/pune/hospital/jehangir-hospital-sangamvadi-1
13,Maharashtra Medical Foundation - Joshi Hospital,"Shivaji Nagar, Pune",37.0,110.0,https://www.practo.com/pune/hospital/joshi-hospital-deccan-gymkhana
14,Orchid Hospital,"Lohegaon, Pune",3.0,60.0,https://www.practo.com/pune/hospital/rashmi-patil-viman-nagar
15,Inlaks and Budhrani Hospital,"Koregaon Park, Pune",56.0,,https://www.practo.com/pune/hospital/inlaks-and-budhrani-hospital-koregaon-park
16,Niramaya Hospital,"Chinchwad, Pune",14.0,,https://www.practo.com/pune/hospital/niramaya-hospital-chinchwad
17,Harsh Hospital,"Market Yard, Pune",2.0,15.0,https://www.practo.com/pune/hospital/harsh-hospital-market-yard
18,National Institute Of Ophthalmology,"Shivaji Nagar, Pune",4.0,16.0,https://www.practo.com/pune/hospital/national-institute-of-ophthalmology-shivaji-nagar-shivaji-nagar
19,Dhanwantari Hospital,"Nigdi, Pune",18.0,30.0,https://www.practo.com/pune/hospital/dhanwantari-hospital-nigdi
20,Hiremath Hospital,"Chinchwad, Pune",2.0,15.0,https://www.practo.com/pune/hospital/hiremath-hospital-chinchwad-1
21,Krishna Hospital,"Kothrud, Pune",17.0,40.0,https://www.practo.com/pune/hospital/krishna-hospital-paud-road
22,Sahyadri Hospital,"Hadapsar, Pune",46.0,20.0,https://www.practo.com/pune/hospital/sahyadri-hospital-hadapsar-1
23,Surya Mother & Child Super Speciality Hospital,"Wakad, Pune",16.0,100.0,https://www.practo.com/pune/hospital/surya-mother-child-super-speciality-hospital-wakad
24,Vinod Memorial Multispeciality Hospital,"Vishrantwadi, Pune",7.0,,https://www.practo.com/pune/hospital/vinod-memorial-multispeciality-hospital-vishrantwadi
25,Kidney & Urology Super-Speciality Clinic,"Rasta Peth, Pune",2.0,8.0,https://www.practo.com/pune/hospital/kidney-urology-super-speciality-clinic-rasta-peth
26,Sahyadri Hospital,"Kothrud, Pune",32.0,30.0,https://www.practo.com/pune/hospital/sahyadri-hospital-kothrud
27,Kedarnath General Hospital,"Vishrantwadi, Pune",19.0,24.0,https://www.practo.com/pune/hospital/kedarnath-general-hospital-vishrantwadi-vishrantwadi
