,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS,LINKS
0,Naveli Bariatric & Laproscopy and Maternity Hospital,"Bhatar, Surat",3,,https://www.practo.com/surat/hospital/naveli-hospital-bhatar
1,Udhna Hospital Pvt. Ltd.,"Udhna, Surat",7,40.0,https://www.practo.com/surat/hospital/udhna-hospital
2,Kidney Care Superspeciality Urology Hospital,"Adajan Dn, Surat",1,,https://www.practo.com/surat/hospital/kidney-care-urosurgical-hospital-adajan-dn
3,Vatsalya Hospital,"Parvat, Surat",2,24.0,https://www.practo.com/surat/hospital/vatsalya-hospital-maternity-home-vatsalyadham
4,Mangukiya Hospital And Test Tube Baby Centre,"Vesu, Surat",1,,https://www.practo.com/surat/hospital/mangukiya-hospital-and-test-tube-baby-centre-vesu
5,Nandanvan Surgical Hospital,"Varachha Road, Surat",1,15.0,https://www.practo.com/surat/hospital/nand-navan-surgical-hospital
6,Shruti ENT Hospital,"Udhna, Surat",2,,https://www.practo.com/surat/hospital/shruti-ent-hospital-1-surat
7,Pahal Kidney Hospital,"Laldarwaja, Surat",1,,https://www.practo.com/surat/hospital/pahal-kidney-hospital-laldarwaja
8,Sharvi Medical Hospital,"Adajan Dn, Surat",1,,https://www.practo.com/surat/hospital/sharvi-medical-hospital-adajan-dn
9,Aamanya Hospital,"Adajan Dn, Surat",2,15.0,https://www.practo.com/surat/hospital/aamanyahospital-adajan-dn
10,Matruvarsha Hospital,"Mandvi SR, Surat",1,15.0,https://www.practo.com/surat/hospital/matruvarsha-hospital-mandvi-sr
11,Foram Hospital,"Rander, Surat",2,16.0,https://www.practo.com/surat/hospital/foram-hospital-rander
12,Shreeji Clinic & Nursing Home,"Sachin, Surat",1,15.0,https://www.practo.com/surat/hospital/shreeji-clinic-nursing-home-sachin
13,Welcare Hospital,"Palanpur Nd, Surat",1,15.0,https://www.practo.com/surat/hospital/welcare-hospital-1-1
14,Harihar E.N.T Hospital,"Majura Gate, Surat",1,,https://www.practo.com/surat/hospital/harihar-e-n-t-hospital-majura-gate-1
15,Aditya Hospital,"Katargam, Surat",1,,https://www.practo.com/surat/hospital/aditya-hospital-3
16,Sriji Hospital,"Adajan Dn, Surat",1,16.0,https://www.practo.com/surat/hospital/sriji-hospital-1
17,Maatre Hospital,"L.P. Savani, Surat",1,15.0,https://www.practo.com/surat/hospital/maatre-hospital
18,Sai Medical Hospital And Maternity Home,"L.P. Savani, Surat",1,15.0,https://www.practo.com/surat/hospital/sai-medical-hospital-and-maternity-home-adajan-dn
19,Olive Hospital,"Adajan Dn, Surat",1,15.0,https://www.practo.com/surat/hospital/olive-hospital
20,Abhidhara Hospital,"Amroli, Surat",1,15.0,https://www.practo.com/surat/hospital/abhidhara-hospital
21,Mayya Maternity Hospital,"Amroli, Surat",1,10.0,https://www.practo.com/surat/hospital/mayya-maternity-hospital
22,Rvushi Children Hospital,"Laldarwaja, Surat",2,40.0,https://www.practo.com/surat/hospital/rvushi-children-hospital
23,Madhuram Multispeciality Hospital & ICU,"Palanpur Nd, Surat",2,18.0,https://www.practo.com/surat/hospital/madhuram-hospital-1-1
24,KARMA HOSPITAL & COUNSELLING CENTRE,"Adajan Dn, Surat",1,,https://www.practo.com/surat/hospital/karma-hospital-counselling-center-adajan-dn
25,Aarogyam Hospital And Maternity Home,"Pandesara, Surat",2,,https://www.practo.com/surat/hospital/aarogyam-hospital-maternity-home-pandesara
26,"Spinetics -The Spine Endoscopy, Pain Management Centre, Rehab Centre","Adajan Dn, Surat",2,,https://www.practo.com/surat/hospital/spinetics-the-spine-endoscopy-pain-management-centre-adajan-dn
27,Shivam Hospital,"Parvat, Surat",1,,https://www.practo.com/surat/hospital/shivam-hospital-11
28,Saidharm Eye Hospital,"Katargam, Surat",1,2.0,https://www.practo.com/surat/hospital/sai-dharm-hospital
29,Aarushi Orthopaedic Hospital,"Amroli, Surat",1,15.0,https://www.practo.com/surat/hospital/arushi-hospital
30,Kadhiwala Orthopaedic Hospital,"Nanpura, Surat",1,,https://www.practo.com/surat/hospital/kadhiwala-orthopaedic-hospital-nanpura
31,Shubham Hospital,"L.P. Savani, Surat",1,16.0,https://www.practo.com/surat/hospital/shubam-hospital-1-l-p-savani
32,Mother Hospital & Maternity Home,"Mota Varachha, Surat",2,20.0,https://www.practo.com/surat/hospital/mother-hospital-maternity-home-mota-varachha
33,Nupoor Maternity Home & Sonography Clinic,"Pal Bhatha, Surat",1,7.0,https://www.practo.com/surat/hospital/nupoor-maternity-home
34,Shree Pandav Multispeciality Hospital,"Amroli, Surat",1,15.0,https://www.practo.com/surat/hospital/shree-pandav-multispeciality-hospital
