,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS,LINKS
0,Padmasri Hospital And IVF Centre,"Akkayyapalem, Visakhapatnam",1.0,,https://www.practo.com/visakhapatnam/hospital/padmasri-hospitals-akkayyapalem
1,Waltair Multicare Hospital,"Waltair R S, Visakhapatnam",1.0,5.0,https://www.practo.com/visakhapatnam/hospital/waltair-multicare-hospital-waltair-r-s
2,Omni RK Super Speciality Hospital,"Ram Nagar, Visakhapatnam",4.0,,https://www.practo.com/visakhapatnam/hospital/omni-rk-super-speciality-hospital-ram-nagar-1
3,Talasila Super Speciality Dental Hospital,"Gajuwaka, Visakhapatnam",6.0,5.0,https://www.practo.com/visakhapatnam/hospital/talasila-super-speciality-dental-hospital-gajuwaka
4,Joint Surgery Specialist,"Arilova, Visakhapatnam",1.0,,https://www.practo.com/visakhapatnam/hospital/jointsurgeryspecialist-secunderabad
5,Krishna Children's Hospital,"Akkayyapalem, Visakhapatnam",1.0,2.0,https://www.practo.com/visakhapatnam/hospital/krishna-maternity-and-nursing-home-visakhapatnam
6,Omni-RK Hospital,"Rampuram, Visakhapatnam",14.0,,https://www.practo.com/visakhapatnam/hospital/omni-rk-hospital-rampuram
7,Ujhwal Hospitals,"Madhurawada, Visakhapatnam",6.0,100.0,https://www.practo.com/visakhapatnam/hospital/ujhwal-hospitals-1
8,Usha Hospital,"Maharani Peta, Visakhapatnam",1.0,,https://www.practo.com/visakhapatnam/hospital/usha-hospital-maharani-peta
9,Mamata Hospital,"Gajuwaka, Visakhapatnam",1.0,,https://www.practo.com/visakhapatnam/hospital/mamata-hospital
10,Seven Hills Hospitals,"Waltair R S, Visakhapatnam",16.0,,https://www.practo.com/visakhapatnam/hospital/seven-hills-hospitals-waltair-r-s
11,Life Line Hospital,"Seethammadhara, Visakhapatnam",1.0,,https://www.practo.com/visakhapatnam/hospital/life-line-hospital-seethammadhara-1
12,Vijetha Hospital,"Maharani Peta, Visakhapatnam",8.0,100.0,https://www.practo.com/visakhapatnam/hospital/vijetha-hospital-maharanipeta-1
13,MyCure Hospital - Zila Parishad Junction,"Maharani Peta, Visakhapatnam",18.0,56.0,https://www.practo.com/visakhapatnam/hospital/manipal-super-specialty-hospital-visakhapatnam-maharanipeta
14,Aditya Homoeo Hospital,"Kancharapalem, Visakhapatnam",1.0,,https://www.practo.com/visakhapatnam/hospital/aditya-homoeo-hospital-1
15,Vijay Super Specialty Dental Hospital,"Dwarakanagar, Visakhapatnam",1.0,,https://www.practo.com/visakhapatnam/hospital/vijay-super-specialty-dental-hospital-dwarakanagar-1-1
16,Smile Care Super Speciality Dental Hospitals,"NAD Kotha Road Junction, Visakhapatnam",1.0,,https://www.practo.com/visakhapatnam/hospital/smile-care-super-speciality-dental-hospitals-nad-kotha-road-junction
17,Varma Hospital,"Sriharipuram, Visakhapatnam",1.0,,https://www.practo.com/visakhapatnam/hospital/varma-hospital-visakhapatnam
18,MyCure Hospital - Jagdamba Junction,"Maharani Peta, Visakhapatnam",18.0,100.0,https://www.practo.com/visakhapatnam/hospital/manipal-hospital-visakhapatnam-maharanipeta
19,Sunitha Nursing Home,"Visakhapatnam, Visakhapatnam",2.0,,https://www.practo.com/visakhapatnam/hospital/sunitha-nursing-home-visakhapatnam
20,Mycure Hospitals (Multi Speciality),"Maharani Peta, Visakhapatnam",1.0,,https://www.practo.com/visakhapatnam/hospital/dr-t-suresh-brain-and-spine-surgeon-maharani-peta
21,SMS Dental Hospital,"Dondapudi, Visakhapatnam",13.0,,https://www.practo.com/visakhapatnam/hospital/sms-dental-hospital-dondapudi
22,Sri Surya Dental Hospital,"Maharani Peta, Visakhapatnam",1.0,,https://www.practo.com/visakhapatnam/hospital/sri-surya-dental-hospital-maharanipeta-1-1
23,Saroja Hospital,"Akkayyapalem, Visakhapatnam",1.0,,https://www.practo.com/visakhapatnam/hospital/saroja-hospital-akkayyapalem
24,Bharathi Hospital,"Maharani Peta, Visakhapatnam",1.0,,https://www.practo.com/visakhapatnam/hospital/bharathi-hospital-maharanipeta
25,Radha Krishna Pavan Nursing Home,"Sriharipuram, Visakhapatnam",1.0,3.0,https://www.practo.com/visakhapatnam/hospital/radha-krishna-pavan-nursing-home
26,Dr Muralidhar N Apollo Hospitals,"Arilova, Visakhapatnam",1.0,,https://www.practo.com/visakhapatnam/hospital/dr-muralidhar-apollo-hospitals-arilova
27,Jyothi Nursing Home,"Maddilapalem, Visakhapatnam",4.0,,https://www.practo.com/visakhapatnam/hospital/jyothi-nursing-home-visakhapatnam
28,Apollo Hospitals Health City,"Arilova, Visakhapatnam",1.0,,https://www.practo.com/visakhapatnam/hospital/apollo-hospitals-health-city-arilova-1
29,kala hospital,"Dwarakanagar, Visakhapatnam",1.0,,https://www.practo.com/visakhapatnam/hospital/kala-hospital-1
30,Sri Laxmi Nursing Home,"Dabagardens, Visakhapatnam",1.0,,https://www.practo.com/visakhapatnam/hospital/sri-laxmi-nursing-home-dabagardens
31,Vijaya Hospitals,"N A D, Visakhapatnam",1.0,,https://www.practo.com/visakhapatnam/hospital/vijaya-hospitals-visakhapatnam
32,Sri krishna Orthopaedic Hospital,"Gajuwaka, Visakhapatnam",1.0,,https://www.practo.com/visakhapatnam/hospital/sri-krishna-orthopedic-hospital-gajuwaka
33,Sai Sathya Hospital,"Arilova, Visakhapatnam",1.0,,https://www.practo.com/visakhapatnam/hospital/sai-sathya-hospital-arilova
34,Krishna Hospital,"Maharani Peta, Visakhapatnam",1.0,40.0,https://www.practo.com/visakhapatnam/hospital/krishna-hospital-15-maharanipeta
35,HCG-Pinnacle Cancer Hospital,"Arilova, Visakhapatnam",1.0,,https://www.practo.com/visakhapatnam/hospital/queen-s-nri-hopsital-seethayyapeta
36,Sai Bharadwaja Ayurvedic Hospital,"MVP Colony, Visakhapatnam",1.0,,https://www.practo.com/visakhapatnam/hospital/sai-bharadwaja-ayurvedic-hospital-mvp-colony
37,Laxmi Orthopedic hospital ,"Anakapalle, Visakhapatnam",1.0,,https://www.practo.com/visakhapatnam/hospital/laxmi-orthopedic-hospital-anakapalle
38,Sai Bharadwaja Ayurvedic Hospital,"Kurmannapalem, Visakhapatnam",1.0,,https://www.practo.com/visakhapatnam/hospital/sai-bharadwaja-ayurvedic-hospital-kurmannapalem
39,Ujwal Hospital,"Madhurawada, Visakhapatnam",1.0,,https://www.practo.com/visakhapatnam/hospital/ujwal-hospital-visakhapatnam
40,Navaratnam - Kesava Rao Charitable Health Centre,"Gajuwaka, Visakhapatnam",1.0,,https://www.practo.com/visakhapatnam/hospital/navaratnam-kesava-rao-charitable-health-centre
41,M S R Hospital Surgical And Laparoscopic Centre,"Sriharipuram, Visakhapatnam",1.0,5.0,https://www.practo.com/visakhapatnam/hospital/m-s-r-hospital-surgical-and-laparoscopic-centre-1
42,Sri krishna Orthopaedic Hospital,"Gajuwaka, Visakhapatnam",1.0,,https://www.practo.com/visakhapatnam/hospital/sri-krishna-orthopedic-hospital-gajuwaka
43,Sai Sathya Hospital,"Arilova, Visakhapatnam",1.0,,https://www.practo.com/visakhapatnam/hospital/sai-sathya-hospital-arilova
44,Krishna Hospital,"Maharani Peta, Visakhapatnam",1.0,40.0,https://www.practo.com/visakhapatnam/hospital/krishna-hospital-15-maharanipeta
45,HCG-Pinnacle Cancer Hospital,"Arilova, Visakhapatnam",1.0,,https://www.practo.com/visakhapatnam/hospital/queen-s-nri-hopsital-seethayyapeta
46,Sai Bharadwaja Ayurvedic Hospital,"MVP Colony, Visakhapatnam",,,https://www.practo.com/visakhapatnam/hospital/sai-bharadwaja-ayurvedic-hospital-mvp-colony
47,Laxmi Orthopedic hospital ,"Anakapalle, Visakhapatnam",,,https://www.practo.com/visakhapatnam/hospital/laxmi-orthopedic-hospital-anakapalle
48,Sai Bharadwaja Ayurvedic Hospital,"Kurmannapalem, Visakhapatnam",,,https://www.practo.com/visakhapatnam/hospital/sai-bharadwaja-ayurvedic-hospital-kurmannapalem
49,Ujwal Hospital,"Madhurawada, Visakhapatnam",,,https://www.practo.com/visakhapatnam/hospital/ujwal-hospital-visakhapatnam
