,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS,LINKS
0,Sir Ganga Ram Hospital,"Old Rajendra Nagar, Delhi",264,654,https://www.practo.com/delhi/hospital/sir-ganga-ram-hospital-delhi-old-rajendra-nagar-1
1,Max Super Speciality Hospital,"Saket, Delhi",259,250,https://www.practo.com/delhi/hospital/max-smart-super-specialty-hospital-saket-2
2,Bombay Hospital & Medical Research Centre,"Marine Lines, Mumbai",224,900,https://www.practo.com/mumbai/hospital/bombay-hospital-medical-research-centre-marine-lines
3,Bhatia  Hospital,"Tardeo, Mumbai",205,209,https://www.practo.com/mumbai/hospital/bhatia-hospital-grant-road-1-666080
4,Apollo Hospital,"Greams Road, Chennai",203,560,https://www.practo.com/chennai/hospital/apollo-hospitals-greams-road-3
5,Apollo Hospitals,"Jubilee Hills, Hyderabad",175,550,https://www.practo.com/hyderabad/hospital/apollo-hospitals-18-jubilee-hills
6,Manipal Hospital,"Old Airport Road, Bangalore",173,100,https://www.practo.com/bangalore/hospital/manipal-hospital-old-airport-road-1-630200
7,Saifee Hospital,"Charni Road, Mumbai",170,256,https://www.practo.com/mumbai/hospital/saifee-hospital-charni-road-2
8,KIMS - Krishna Institute of Medical Sciences,"Secunderabad, Hyderabad",163,1000,https://www.practo.com/hyderabad/hospital/krishna-institute-of-medical-sciences-kims-secunderabad
9,S L Raheja Fortis Hospital,"Mahim, Mumbai",158,140,https://www.practo.com/mumbai/hospital/s-l-raheja-hospitals-mahim-1
10,St.Isabel's Hospital,"Mylapore, Chennai",142,300,https://www.practo.com/chennai/hospital/st-isabel-s-hospital-mylapore
11,Max Superspeciality Hospital,"Shalimar Bagh, Delhi",135,300,https://www.practo.com/delhi/hospital/max-super-speciality-hospital-shalimar-bagh-1
12,Continental Hospitals,"Gachibowli, Hyderabad",133,750,https://www.practo.com/hyderabad/hospital/continental-hospital-gachibowli-1-663465
13,Ruby Hall Clinic,"Dhole Patil Road, Pune",132,550,https://www.practo.com/pune/hospital/ruby-hall-clinic-dhole-patil-road-1
14,Care Hospitals,"Banjara Hills, Hyderabad",125,200,https://www.practo.com/hyderabad/hospital/care-hospital-banjara-hills-banjara-hills
15,Masina Hospital ,"Byculla, Mumbai",121,232,https://www.practo.com/mumbai/hospital/masina-hospital-byculla-1
16,Blk Super Speciality Hospital,"Pusa Road, Delhi",120,650,https://www.practo.com/delhi/hospital/blk-hospital-pusa-road
17,Fortis Hospital,"Mulund West, Mumbai",117,261,https://www.practo.com/mumbai/hospital/fortis-hospitals-limited-mulund-west
18,Sri Balaji Action Medical Institute,"Paschim Vihar, Delhi",114,150,https://www.practo.com/delhi/hospital/sri-balaji-action-medical-institute-action-cancer-hospital-paschim-vihar
