,NAME,EXPERIENCE,QUALIFICATION,SPECIALTIES,HOSPITAL
0,Dr. Devinder Rai,32.0,MBBS MS - Otorhinolaryngology ,ENT/Otorhinolaryngologist,Sir Ganga Ram Hospital
1,Dr. Piyush Ranjan,13.0,DNB - General Medicine MD - General Medicine MBBS DM - Gastroenterology ,Gastroenterologist,Sir Ganga Ram Hospital
2,Dr. Ajay Sharma,32.0,MBBS MD - General Medicine MS - Urology ,GastroentrologySurgeon,Sir Ganga Ram Hospital
3,Dr. Sudhir Chadha,34.0,MBBS MS - General Surgery MCh - Urology ,Urologist,Sir Ganga Ram Hospital
4,Dr. Pradeep Jain,39.0,MBBS MD - Anaesthesiology ,PainManagementSpecialist,Sir Ganga Ram Hospital
5,Dr. Manu Gupta,20.0,MBBS MS - General Surgery DNB - General Surgery ,Urologist,Sir Ganga Ram Hospital
6,Dr. Sachin Kathuria,19.0,MBBS MS - General Surgery DNB - Urology/Genito - Urinary Surgery ,Urologist,Sir Ganga Ram Hospital
7,Dr. Sushil Kumar Chadha,17.0,MBBS MS - General Surgery MCh - Cardio Thoracic and Vascular Surgery ,Thoracic(Chest)Surgeon,Sir Ganga Ram Hospital
8,Dr. Amarjeet Singh,17.0,MD - Anaesthesiology MBBS ,Anesthesiologist,Sir Ganga Ram Hospital
9,Dr. Rakesh KR. Koul,26.0,MBBS MS - General Surgery DNB - Surgical Oncology ,SurgicalOncologist,Sir Ganga Ram Hospital
10,Dr. Saumitra Rawat,17.0,MBBS MS - General Surgery FRCS - General Surgery (Upper GI) ,Gastroenterologist,Sir Ganga Ram Hospital
11,Dr. Suresh Singhvi,27.0,MS - General Surgery FRCS - General Surgery (Upper GI) MBBS ,GeneralSurgeon,Sir Ganga Ram Hospital
12,Dr. Naimish Mehta,21.0,MBBS MS - General Surgery ,GeneralSurgeon,Sir Ganga Ram Hospital
13,Dr. Shailendra Lalwani,16.0,MBBS MS - General Surgery DNB - Gastroenterology ,Gastroenterologist,Sir Ganga Ram Hospital
14,Dr. Naresh Dua,20.0,MBBS MD - Anaesthesiology ,Anesthesiologist,Sir Ganga Ram Hospital
15,Dr. Vivek Mangla,10.0,MBBS MS - General Surgery MCh - Surgical Gastroenterology/G.I. Surgery ,Gastroenterologist,Sir Ganga Ram Hospital
16,Dr. Ambarish Satwik,13.0,MBBS MS - General Surgery DNB - Peripheral Vascular Surgery ,VascularSurgeon,Sir Ganga Ram Hospital
17,Dr. V.S. Madan,55.0,MBBS MS - Neuro Surgery ,SpineSurgeon,Sir Ganga Ram Hospital
18,Dr. K.L. Kalra,38.0,MBBS MS - Orthopaedics ,Orthopedist,Sir Ganga Ram Hospital
19,Dr. Ashish Goyal,25.0,MBBS MS - General Surgery MCh - Neuro Surgery ,SpineSurgeon,Sir Ganga Ram Hospital
20,Dr. Sanjay Manchanda,30.0,MBBS Diploma in Tuberculosis and Chest Diseases (DTCD) Diploma in Sleep Medicine ,Somnologist(SleepSpecialist),Sir Ganga Ram Hospital
