DOC_ID,HOSP_ID
0,49
1,16
2,129
3,0
4,44
5,17
6,38
7,3
8,31
8,51
9,31
10,31
11,31
12,28
12,86
13,31
14,76
15,75
16,51
17,1
18,55
19,58
20,36
21,3
22,75
23,63
24,125
25,6
26,3
27,8
28,46
29,34
29,43
30,0
31,1
32,17
33,21
34,55
35,107
36,54
37,9
38,2
39,12
40,49
41,30
42,11
43,68
44,0
45,0
46,28
46,18
47,30
48,17
49,9
50,5
51,18
52,129
53,129
54,76
55,17
56,49
57,7
58,90
59,12
60,31
61,8
62,72
63,7
64,49
65,8
66,1
67,13
68,40
69,2
70,2
71,40
72,42
73,27
73,10
74,8
75,13
76,7
77,4
78,14
79,48
80,8
81,8
82,14
83,68
84,2
85,94
86,4
87,2
88,2
89,2
90,8
91,28
92,34
93,1
94,6
95,20
96,1
97,2
98,4
99,43
100,41
101,2
102,20
103,26
104,13
105,17
106,37
107,43
108,80
109,75
110,10
111,48
112,10
113,10
114,5
115,8
116,6
117,8
118,66
119,37
120,8
121,12
122,17
122,85
122,3
123,109
124,16
125,64
126,9
127,122
128,17
129,7
130,58
131,7
132,129
132,4
133,12
134,60
135,17
136,16
137,0
138,40
139,53
140,73
141,13
142,62
142,13
143,1
144,13
145,1
146,57
147,82
147,62
148,58
149,58
150,19
151,1
152,26
153,19
154,9
155,13
156,63
157,29
158,33
159,57
160,14
161,107
162,4
163,25
164,12
165,125
166,12
167,17
168,0
169,0
170,12
171,88
172,22
173,9
173,17
174,107
175,6
176,29
177,49
178,62
179,72
180,100
180,4
181,6
182,125
183,1
184,26
185,12
186,109
187,47
188,50
189,41
190,17
191,15
192,57
193,19
194,1
195,22
196,16
197,91
198,86
199,46
200,66
201,110
202,8
203,49
203,138
204,29
205,55
205,1
206,6
207,11
208,0
209,16
210,7
211,52
212,91
212,11
213,29
214,2
215,29
216,28
217,38
218,26
219,70
220,57
221,57
222,38
222,18
223,77
224,16
225,102
226,8
227,67
228,1
229,18
230,3
230,26
231,56
232,0
232,11
232,20
232,1
233,50
234,26
235,0
236,70
236,51
237,0
238,52
239,72
240,45
240,53
240,85
241,0
242,0
243,9
244,17
245,1
246,3
246,33
247,33
247,13
247,57
248,52
249,88
250,96
251,7
252,5
253,3
254,25
255,1
256,53
257,11
258,114
259,4
260,11
261,36
262,37
263,54
264,37
265,65
266,1
267,79
267,2
268,21
268,1
269,32
270,53
271,11
272,31
273,33
274,9
275,138
276,1
277,62
278,138
279,97
280,10
281,10
282,45
282,7
283,7
284,7
285,55
285,17
286,5
287,1
288,17
288,28
289,16
289,9
290,16
291,26
292,7
292,15
293,48
294,0
295,1
296,20
296,40
296,11
297,17
298,32
299,5
300,14
301,38
302,18
303,66
304,4
305,0
306,9
307,11
308,15
308,9
308,7
309,64
310,95
311,1
311,11
312,0
313,1
313,20
313,11
314,1
315,106
316,78
317,130
318,12
319,33
320,18
321,12
322,97
323,0
324,17
325,128
326,108
327,55
328,9
329,19
330,0
331,0
332,132
333,2
333,9
334,3
334,85
335,9
336,9
337,2
338,2
339,17
340,7
341,15
342,13
343,17
343,31
344,17
345,19
346,3
347,16
347,21
347,35
348,28
349,21
350,3
351,18
352,16
353,0
354,22
354,88
355,22
356,12
357,16
358,0
359,53
360,90
360,1
361,66
362,16
363,20
364,16
365,15
365,53
366,58
367,18
368,86
369,31
370,6
371,79
372,52
373,96
374,22
375,22
376,26
377,1
378,26
379,125
380,11
381,2
382,21
383,88
384,18
385,55
386,55
387,1
388,5
389,134
390,3
391,137
392,12
393,5
394,13
395,22
396,3
397,2
397,19
398,29
399,58
400,26
401,19
402,0
403,2
404,20
405,3
405,51
406,66
407,6
408,6
409,112
410,50
411,27
412,27
413,62
414,15
415,19
416,7
417,15
418,18
419,90
420,4
421,85
422,63
423,58
424,44
425,5
426,18
426,28
427,27
428,3
429,20
430,95
431,17
432,6
433,5
434,31
435,106
436,2
437,6
438,29
439,2
440,9
441,127
441,118
442,63
443,25
444,5
444,4
445,105
446,1
447,28
448,1
449,0
450,129
451,105
452,4
453,4
454,41
455,27
456,100
457,6
458,44
459,34
459,84
459,65
460,10
461,1
462,76
463,18
464,6
465,32
466,88
467,9
468,0
469,95
470,125
471,54
472,5
472,12
473,20
474,1
475,1
476,78
477,16
478,17
479,4
480,11
480,20
481,9
482,19
483,75
484,109
484,28
484,2
485,81
486,8
487,54
488,124
489,17
489,21
490,0
491,11
492,50
493,94
494,12
495,77
495,17
496,68
497,20
498,8
499,35
499,21
500,3
501,16
502,71
503,13
504,6
505,0
506,7
507,1
507,2
508,64
509,110
510,35
511,7
512,104
512,130
512,89
513,35
514,16
515,33
516,35
517,52
518,36
519,17
520,18
521,32
522,90
523,26
524,21
525,1
526,29
527,70
527,9
528,7
529,5
530,71
531,22
532,3
533,9
534,17
535,1
536,0
537,9
538,17
539,55
540,106
541,20
542,1
543,116
544,37
545,10
546,74
547,6
548,120
549,0
550,17
550,19
551,20
552,1
553,26
554,134
555,107
556,7
557,104
558,103
559,4
560,7
561,17
562,85
563,46
564,128
565,16
566,111
566,17
567,18
568,50
569,6
570,118
571,12
572,53
573,45
574,16
575,57
576,11
577,3
578,3
579,20
579,1
579,11
580,11
581,9
582,104
583,26
583,38
584,22
585,63
586,30
587,20
588,4
589,22
590,11
591,15
592,21
593,9
594,0
595,35
596,40
597,0
597,40
598,21
599,2
600,20
600,11
601,35
602,107
603,76
604,56
605,129
606,129
607,10
608,70
609,17
610,130
611,17
612,90
613,0
614,14
615,77
616,16
617,121
618,1
619,11
620,22
621,13
622,28
623,3
623,7
624,0
625,16
626,29
626,13
627,0
628,1
629,1
630,0
631,89
632,80
633,9
634,18
635,4
636,1
637,13
638,50
639,0
640,21
641,0
642,1
643,8
644,5
645,3
646,22
647,6
648,31
649,135
650,28
651,0
652,1
653,89
654,0
655,97
656,11
657,86
658,1
659,89
660,55
661,130
662,95
663,12
664,96
665,9
665,17
666,32
667,1
668,91
669,95
670,21
671,38
672,111
673,1
674,32
675,43
676,34
677,95
678,36
679,95
680,17
681,117
682,9
683,19
684,19
685,0
686,7
687,86
688,31
689,29
689,52
690,106
691,38
692,97
693,21
694,20
695,3
696,32
697,108
698,32
699,115
700,124
701,45
702,36
703,115
704,107
705,1
706,21
707,17
708,6
709,67
710,1
711,4
712,17
713,5
714,7
715,0
716,4
717,65
718,4
719,62
720,9
721,17
721,19
722,17
723,7
724,25
725,3
726,89
727,4
