DOC_ID,NAME,EXPERIENCE,QUALIFICATION,SPECIALTIES,HOSPITAL
0,Adarsh Surendranath,,MBBS MD - General Medicine ,Gastroenterologist,Billroth Hospitals
1,Anurag Narula,17.0,MBBS MD - General Medicine DM - Neurology ,,Blk Super Speciality Hospital
2,Baskaran S,,,Cardiologist,Apollo Speciality Cancer Hospital
3,Deepak Agrawal,18.0,BDS FICD MDS ,"Dentist,DentalSurgeon",Sir Ganga Ram Hospital
4,Dheeraj Karanth,7.0,MBBS DCH ,Gastroenterologist,Mallige Medical Centre
5,Dr Anand Mishra,21.0,MBBS MS - General Surgery ,ConsultantPhysician,Fortis Hospital
6,Dr Deepak Sharma,35.0,MS - ENT MBBS ,"Dermatologist,Cosmetologist",Fortis Escorts
7,Dr Jyothhi Kapadia,22.0,MBBS MD - Radiotherapy ,Dentist,Bhatia  Hospital
8,Dr Nikhil Sardar,13.0,MBBS MD - Pediatrics Fellowship in Neonatology ,Ophthalmologist/EyeSurgeon,BSES MG Hospital
8,Dr Nikhil Sardar,,MBBS MS - Orthopaedics ,Ophthalmologist/EyeSurgeon,Criti Care Multi Speciality Hospital & Research Centre
9,Dr Nirmala Khembabvi,9.0,MBBS MS - General Surgery MCh - Urology/Genito-Urinary Surgery ,Dentist,BSES MG Hospital
10,Dr Pallavi Shah,4.0,MBBS MS - ENT DNB - ENT ,Gynecologist,BSES MG Hospital
11,Dr Parit Ladani,19.0,MBBS MS - Orthopaedics Fellowship in Shoulder and Knee Surgery Fellowship in Arthroscopy and Sports Medicine ,Dentist,BSES MG Hospital
12,Dr Rajat Goel,33.0,MBBS ,"GeneralSurgeon,LaparoscopicSurgeon,BariatricSurgeon",Mata Chanan Devi Hospital
12,Dr Rajat Goel,,,"GeneralSurgeon,LaparoscopicSurgeon,BariatricSurgeon",Primus Super Speciality Hospital
13,Dr Rajesh Valand,10.0,MBBS MS - General Surgery MCh - Neuro Surgery ,ENT/Otorhinolaryngologist,BSES MG Hospital
14,Dr Ravi,,MBBS MS - ENT DNB - ENT ,Nephrologist/RenalSpecialist,St John Medical College and Hospital
15,Dr Ravi Charan Palwai,,MBBS MD - Obstetrics & Gynaecology DNB ,ENT/Otorhinolaryngologist,MaxCure Hospitals
16,Dr Sejal K. Shah,,MBBS MD - General Medicine ,Dermatologist,Criti Care Multi Speciality Hospital & Research Centre
17,Dr Sunil Kumar Chakravarty,23.0,"MBBS MD - Dermatology , Venereology & Leprosy DNB - Dermatology & Venereology ",Gastroenterologist,Max Super Speciality Hospital
18,Dr Vishakha S Rao,,MBBS MD - Oncology ,Dentist,Rockland Hospital
19,Dr.  Ahad Munshi,,MBBS Diploma in Otorhinolaryngology (DLO) DNB - ENT ,Dermatologist,Inamdar Multispeciality Hospital
20,Dr.  B V Ashalata,14.0,MBBS MS - ENT ,Ophthalmologist/EyeSurgeon,Columbia Asia Hospital
21,Dr.  Hussain Maharra S,15.0,FRCS - General Surgery MSc MRCS (UK) MBBS FRCS - General Surgery FRCS - General Surgery ,GeneralSurgeon,Bhatia  Hospital
22,Dr.  Krishna Prasad A R,,MBBS MS - Obstetrics & Gynaecology ,GeneralSurgeon,MaxCure Hospitals
23,Dr.  Mahendra Dadke,,MBBS MS - General Surgery DNB - Urology/Genito - Urinary Surgery ,InternalMedicine,Aditya Birla Memorial Hospital
24,Dr.  Manisha Munemane,,,"Gynecologist,Obstetrician,InfertilitySpecialist",Surya Mother & Child Super Speciality Hospital
25,Dr.  NITIN  S SHETTY,7.0,MBBS DNB - Paediatrics ,Ophthalmologist/EyeSurgeon,Manipal Hospital
26,Dr.  Pranay R. Shah,22.0,MBBS MS - General Surgery MCh - Plastic Surgery ,Gynecologist,Bhatia  Hospital
27,Dr.  Sujit Kumar Vidiyala,11.0,BDS MDS Fellow of Academy of General Education (FAGE) ,"Neurosurgeon,SpineSurgeon",KIMS - Krishna Institute of Medical Sciences
28,Dr.  T Anuradha,19.0,MBBS MD - General Medicine PDCC - Hand ,Pulmonologist,Star Hospitals
29,Dr.  Vengada Krishnaraj,27.0,M.Ch - Orthopaedics F.A.C.S DNB - Orthopedics/Orthopedic Surgery ,Pulmonologist,Kamakshi Memorial Hospital
29,Dr.  Vengada Krishnaraj,24.0,MBBS MD - Obstetrics & Gynaecology ,Pulmonologist,Hindu Mission Hospital
30,Dr. (Brig) Ajay Sharma,24.0,MBBS MD - Pediatrics ,GeneralPhysician,Sir Ganga Ram Hospital
31,Dr. (Col) Kumud Rai,4.0,MBBS MD - General Medicine DNB (Cardiology) Fellowship In Interventional  Cardiology ,CardiacSurgeon,Max Super Speciality Hospital
32,Dr. (Col) Rajesh Khanduja,11.0,MBBS MD - Obstetrics & Gynaecology ,Nephrologist/RenalSpecialist,Fortis Hospital
33,Dr. (Gp Capt) Sharan Choudhri,13.0,MD - General Medicine DM - Neurology ,SurgicalOncologist,Max Smart Super Speciality Hospital
34,Dr. (Maj Gen) JK Bansal,,MBBS MS - General Surgery MCh - Urology/Genito-Urinary Surgery ,InternalMedicine,Rockland Hospital
35,Dr. (Prof) Col Pradyot Sarkar,,,Psychiatrist,Amri Hospitals
36,Dr. (Prof) Nirmal Kumar,,Post Graduation Diploma in Dietetics BSc - Dietitics / Nutrition Advanced Certificate Course In Diabetes Post Graduate Diploma in Diabetic Education ,Gastroenterologist,Venkateshwar Hospital
37,Dr. A A Chikhalikar,21.0,"MBBS MD - Dermatology , Venereology & Leprosy ",InternalMedicine,S L Raheja Fortis Hospital
38,Dr. A C Pereira,37.0,MBBS MS - General Surgery ,Cardiologist,Bombay Hospital & Medical Research Centre
39,Dr. A Deepthi Nandan Reddy,21.0,MBBS MS - General Surgery ,Orthopedist,Continental Hospitals
40,Dr. A Dorairajan,,MBBS Doctor of Medicine ,"Orthopedist,JointReplacementSurgeon",Billroth Hospitals
41,Dr. A Hari Priya,22.0,MBBS DMRD ,"Prosthodontist,Cosmetic/AestheticDentist,Dentist",Kamineni Hospitals
42,Dr. A J Chitkara,7.0,MBBS MD - Psychiatry ,Pediatrician,Max Superspeciality Hospital
43,Dr. A Jayachandra,,MBBS DDVL ,Pulmonologist,Aditya Hospital
44,Dr. A K Bhalla,37.0,MBBS MD - General Medicine DNB - Nephrology ,Nephrologist/RenalSpecialist,Sir Ganga Ram Hospital
45,Dr. A K Grover,41.0,MD - Ophthalmology MBBS Membership of the National Academy in General Medicine (MNAMS - General Medicine) ,Ophthalmologist/EyeSurgeon,Sir Ganga Ram Hospital
46,Dr. A K Jain,11.0,MBBS DNB - General Surgery DNB - Cardiothoracic Surgery ,Orthopedist,Mata Chanan Devi Hospital
46,Dr. A K Jain,22.0,MBBS MS - General Surgery DNB - Cardiothoracic Surgery ,Orthopedist,Sri Balaji Action Medical Institute
47,Dr. A Kiran Kumar,22.0,MBBS MS - General Surgery MRCS (UK) Fellowship in Laparoscopy ,Oncologist,Kamineni Hospitals
48,Dr. A Lakshmi Kumari,,,"Obstetrician,Gynecologist",Fortis Hospital
49,Dr. A M Argikar,13.0,MBBS MD - General Medicine FRACP - Internal Medicine ,Diabetologist,S L Raheja Fortis Hospital
50,Dr. A Mohan Krishna,43.0,MBBS MD - Internal Medicine ,"Orthopedist,JointReplacementSurgeon",Apollo Hospitals
51,Dr. A N Ganguly,17.0,MBBS MD - General Medicine DM - Endocrinology ,Anesthesiologist,Sri Balaji Action Medical Institute
52,Dr. A N Jayaraaman,,,Dermatologist,Apollo Speciality Cancer Hospital
53,Dr. A N Vaidhyswaran,,,RadiationOncologist,Apollo Speciality Cancer Hospital
54,Dr. A Nagaraj Rao,,MBBS MD - Medicine ,Urologist,St John Medical College and Hospital
55,Dr. A P Mishra,32.0,MBBS MD - Internal Medicine ,InternalMedicine,Fortis Hospital
56,Dr. A R Balaji,,MBBS MS - Orthopaedics Fellowship in Arthroscopy & Sports Injury ,"GeneralSurgeon,Urologist",Billroth Hospitals
57,Dr. A R Farikh,46.0,DCH MBBS ,Oncologist,Saifee Hospital
58,Dr. A Ramadoss,,,Acupuncturist,Brookefield Hospital
59,Dr. A S Murthy,32.0,MBBS MS - General Surgery ,Nephrologist/RenalSpecialist,Continental Hospitals
60,Dr. A S Upadhye,10.0,MBBS MD - Pediatrics Fellowship in Pediatric Intensive Care Fellowship in Neonatology ,GeneralSurgeon,BSES MG Hospital
61,Dr. A Sandeep Janardhan,25.0,MD - Medicine MBBS ,CardiothoracicSurgeon,KIMS - Krishna Institute of Medical Sciences
62,Dr. A Tamilselvi,,MBBS Diploma in Medical Radioligy & Electrology MD - General Medicine ,"Gynecologist,Obstetrician",Madras Medical Mission Hospital
63,Dr. A k. Gavlani,43.0,MBBS MD - Dermatology ,GeneralSurgeon,Saifee Hospital
64,Dr. A. Anbanandan,,MBBS MS - General Surgery Fellowship in Anterior Segment (FIAS) ,GeneralPhysician,Billroth Hospitals
65,Dr. A. Bharathi,21.0,MBBS MD - Medicine ,Anesthesiologist,KIMS - Krishna Institute of Medical Sciences
66,Dr. A. Boutra,31.0,MBBS MD - Anaesthesiology Diploma in Anesthesiology ,Pediatrician,Max Super Speciality Hospital
67,Dr. A. Dawalbhakta,30.0,MBBS MD - General Medicine DM - Cardiology ,Dentist,Ruby Hall Clinic
68,Dr. A. Ghai,11.0,MBBS MS - General Surgery ,Pediatrician,Jaipur Golden Hospital
69,Dr. A. Gokani,43.0,MCh - Paediatric Surgery ,Diabetologist,Bombay Hospital & Medical Research Centre
70,Dr. A. Johari,17.0,MBBS Diploma in Otorhinolaryngology (DLO) FRCS - General Surgery ,Orthopedist,Bombay Hospital & Medical Research Centre
71,Dr. A. K. Sood,21.0,MBBS MS - Orthopaedics FRCS - General Surgery FRCS - General Surgery ,GeneralPhysician,Jaipur Golden Hospital
72,Dr. A. Kamalesh,23.0,MBBS MS - General Surgery MCh - Neuro Surgery DNB - Neurology ,GeneralPhysician,Yashoda Hospital
73,Dr. A. Karthikeyan,4.0,MBBS MD - Psychiatry ,GeneralPhysician,Fortis Malar Hospital
73,Dr. A. Karthikeyan,8.0,MBBS MS - General Surgery MCh - Plastic Surgery ,GeneralPhysician,St.Isabel's Hospital
74,Dr. A. Krishna Reddy,15.0,MBBS MS - Orthopaedics ,Neurosurgeon,KIMS - Krishna Institute of Medical Sciences
75,Dr. A. Kulkarni,21.0,MD - Obstetrics & Gynaecology DNB - Obstetrics & Gynecology FCPS - Mid. & Gynae DGO Diploma of the Faculty of Family Planning (DFFP) MBBS ,Orthopedist,Ruby Hall Clinic
76,Dr. A. M. Rajani,8.0,MCh - Urology MBBS ,"JointReplacementSurgeon,Orthopedist",Saifee Hospital
77,Dr. A. Panneer,27.0,MD - Obstetrics & Gynaecology DGO MBBS ,"Neurologist,GeneralPhysician",Apollo Hospital
78,Dr. A. Raja Gopala Raju,10.0,DNB - ENT MBBS ,Cardiologist,Care Hospitals
79,Dr. A. Ravi,,MBBS MS - Orthopaedics ,GeneralSurgeon,Abhijay Hospital Pvt Ltd
80,Dr. A. SHEKAR REDDY,32.0,MBBS DMRE MD - Radio Diagnosis/Radiology PhD - Radio Diagnosis ,,KIMS - Krishna Institute of Medical Sciences
81,Dr. A. Sridhar,42.0,MBBS MD - Internal Medicine ,Anesthesiologist,KIMS - Krishna Institute of Medical Sciences
82,Dr. A. Surendra Kumar,20.0,MBBS DMRD MD - Internal Medicine ,DentalSurgeon,Care Hospitals
83,Dr. A. Suresh,,MBBS Diploma in Orthopaedics MS - Orthopaedics ,GeneralPhysician,Aditya Hospital
84,Dr. A. Trivedi,24.0,MBBS MS - ENT Diploma in Otorhinolaryngology (DLO) FRCS - General Surgery FCPS - Mid. & Gynae FICS MRCS (UK) ,CardiacSurgeon,Bombay Hospital & Medical Research Centre
85,Dr. A. V. Gurava Reddy,,,"Orthopedist,JointReplacementSurgeon",Sunshine Hospital
86,Dr. A. Vinutha,10.0,MBBS ,Gynecologist,Apollo Hospital
87,Dr. A.C. Pereira,17.0,MBBS MD - Obstetrics & Gynaecology DGO FCPS - Mid. & Gynae Fellow ship of Indian College of Obstetrics and Gynecology (FICOG) ,Cardiologist,Bombay Hospital & Medical Research Centre
88,Dr. A.G. Nande,20.0,MBBS DM - Neurology ,GeneralSurgeon,Bombay Hospital & Medical Research Centre
89,Dr. A.G. Phadke,6.0,MBBS MD - General Medicine Diploma in Nephrology ,Urologist,Bombay Hospital & Medical Research Centre
90,Dr. A.H. Ashwin Kumar,22.0,MBBS MD - Dermatology ,Orthopedist,KIMS - Krishna Institute of Medical Sciences
91,Dr. A.J.S. Gulati,40.0,MBBS MS - ENT ,LaparoscopicSurgeon,Mata Chanan Devi Hospital
92,Dr. A.K. Jayaraj,14.0,MBBS MS - General Surgery DNB - Urology/Genito - Urinary Surgery ,"Urologist,Andrologist,UrologicalSurgeon",Kamakshi Memorial Hospital
93,Dr. A.K. Rayana,23.0,"MD - Dermatology , Venereology & Leprosy DDV ",Ophthalmologist,Max Super Speciality Hospital
94,Dr. A.K. Roy,18.0,MBBS MS - Orthopaedics MRCS (UK) ,Neurologist,Manipal Hospital
95,Dr. A.K.Dhingra,17.0,MBBS MD - General Medicine DNB (Cardiology) ,GeneralSurgeon,Max Hospital
96,Dr. A.K.Katiyal,19.0,MD - General Medicine DNB - General Medicine DM - Cardiology MBBS ,GeneralPhysician,Max Super Speciality Hospital
97,Dr. A.L. Kirpalani,13.0,MBBS MD - Dermatology ,Nephrologist,Bombay Hospital & Medical Research Centre
98,Dr. A.M. Karthigesan,30.0,MBBS MS - General Surgery ,GeneralPhysician,Apollo Hospital
99,Dr. A.Muthukumaravel,39.0,MBBS MD - Pediatrics DNB - Paediatrics FRCPCH ,"LaparoscopicSurgeon,Urologist,GeneralSurgeon",Hindu Mission Hospital
100,Dr. A.N.Mangala,19.0,MBBS MS - ENT Diploma in Otorhinolaryngology (DLO) ,Nephrologist/RenalSpecialist,People Tree Hospitals
101,Dr. A.P. Chitre,10.0,MBBS MD - Pediatrics DCH ,Dentist,Bombay Hospital & Medical Research Centre
102,Dr. A.P. Mehta,34.0,MBBS ,,Max Hospital
103,Dr. A.S Davey,21.0,MBBS MD - General Medicine DM - Cardiology ,Dentist,Sanjeevan Hospital
104,Dr. A.S. Bhagwat,13.0,MBBS FRCS - General Surgery ,Dentist,Ruby Hall Clinic
105,Dr. A.S. Chilana,4.0,MBBS MS - ENT ,"GeneralSurgeon,LaparoscopicSurgeon",Fortis Hospital
106,Dr. A.S. Shylaja,19.0,MBBS MD - Obstetrics & Gynaecology MRCOG DNB - Obstetrics & Gynecology FICS FICMCH ,"Gynecologist,Obstetrician",St. Philomena's Hospital
107,Dr. A.S.Hariharan,23.0,MBBS MS - Orthopaedics ,CardiothoracicSurgeon,Hindu Mission Hospital
108,Dr. A.S.Narang,,MBBS MD - Obstetrics & Gynaecology DGO MRCOG ,,MGS Super Speciality Hospital
109,Dr. A.Sharath Reddy,,MBBS MS - Orthopaedics M.Ch - Orthopaedics ,"InterventionalCardiologist,Cardiologist",MaxCure Hospitals
110,Dr. A.Singaram,36.0,MBBS DNB - General Surgery ,ENT/Otorhinolaryngologist,St.Isabel's Hospital
111,Dr. A.Sivakumar,,MBBS MS - General Surgery DNB - General Surgery ,"PlasticSurgeon,GeneralSurgeon",Abhijay Hospital Pvt Ltd
112,Dr. A.Sumitha,13.0,MBBS DNB - Pulmonary Medicine ,Gynecologist,St.Isabel's Hospital
113,Dr. A.Suresh,19.0,MBBS MD - Pediatrics ,Pulmonologist,St.Isabel's Hospital
114,Dr. AGK Gokhale,31.0,BPTh/BPT ,CardiothoracicSurgeon,Apollo Hospitals
115,Dr. AMBER S.PAPALKAR,8.0,MBBS MS - General Surgery MCh - Paediatric Surgery ,Radiologist,KIMS - Krishna Institute of Medical Sciences
116,Dr. ANJANA BHADRA CHOUDHURY,18.0,MBBS MS - MS.Medicine MCh - Cardio Thoracic and Vascular Surgery ,Pediatrician,Manipal Hospital
117,Dr. ANN CAMPOS NEE SARES,13.0,MBBS MD - Internal Medicine ,,KIMS - Krishna Institute of Medical Sciences
118,Dr. ANUJ D BHARUKA,,MCh - Surgical Gastroenterology/G.I. Surgery ,SpineSurgeon,Indraprastha Apollo Hospitals
119,Dr. ARCHANA P BILAGI,27.0,MBBS MS - General Surgery FALS Fellowship of Association of Colon & Rectal Surgeons of India(FACRSI) ,Pediatrician,St. Philomena's Hospital
120,Dr. ATUL J BONDE,25.0,MBBS MD - Internal Medicine ,Pediatrician,KIMS - Krishna Institute of Medical Sciences
121,Dr. AVS Suresh,30.0,MBBS MS - General Surgery MCh - Plastic Surgery ,"HematologicOncologist,MedicalOncologist",Continental Hospitals
122,Dr. Aabha Nagral,29.0,MBBS MS - General Surgery MCh - Plastic Surgery ,,Fortis Hospital
122,Dr. Aabha Nagral,,,,Jaslok Hospital
122,Dr. Aabha Nagral,21.0,MBBS MRCPCH (UK) ,,Bhatia  Hospital
123,Dr. Aadhi,,,Neurologist,Alpha Hospital
124,Dr. Aanchal Agarwal,28.0,MBBS MD - Medicine DNB - Nephrology ,"InfertilitySpecialist,Gynecologist",Blk Super Speciality Hospital
125,Dr. Aarvind Kumar,,MBBS MD - Pulmonary Medicine ,GeneralPhysician,Sri Sri Holistic Hospitals
126,Dr. Aashal Sanghvi,30.0,MD - Radiotherapy MBBS ,PlasticSurgeon,S L Raheja Fortis Hospital
127,Dr. Aashish Chaudhry,,,"Orthopedist,JointReplacementSurgeon,SpineSurgeon",Aakash Health Care
128,Dr. Aashish R Shah,,,Gastroenterologist,Fortis Hospital
129,Dr. Abbas Asgharali Mistry,37.0,MBBS MD - Oncology DM - Oncology ,PlasticSurgeon,Saifee Hospital
130,Dr. Abbas Chopdawala,,MBBS MD - Pathology ,GeneralPhysician,Inamdar Multispeciality Hospital
131,Dr. Abdul Bashir Khan,40.0,MBBS MCh - Cardio Thoracic Surgery ,Pediatrician,Saifee Hospital
132,Dr. Abdul Ghafur,,,GeneralPhysician,Apollo Speciality Cancer Hospital
132,Dr. Abdul Ghafur,12.0,MBBS MD - Medicine ,GeneralPhysician,Apollo Hospital
133,Dr. Abdul Muqtader,7.0,MBBS MS - General Surgery DNB - General Surgery MCh - Cardio Thoracic and Vascular Surgery DNB - Cardiothoracic Surgery DM - Cardiology ,GeneralPhysician,Continental Hospitals
134,Dr. Abdul Quadeer,,MBBS Diploma in Orthopaedics DNB - Orthopedics/Orthopedic Surgery ,,Medwin Hospitals
