HOSP_ID,EXEC_ID
0,0
0,1
0,2
0,3
0,5
0,17
0,19
0,25
0,30
0,40
0,54
0,68
0,69
0,90
0,100
0,101
0,108
0,108
0,113
0,136
0,173
0,176
0,179
0,184
0,196
0,207
0,218
0,279
0,317
0,321
0,338
0,339
0,385
0,388
0,412
0,422
0,431
0,438
0,446
0,450
0,452
0,479
0,485
0,487
0,493
0,516
0,517
0,519
0,522
0,522
0,524
0,529
0,533
0,571
0,577
0,579
0,586
0,589
0,598
0,598
1,24
1,36
1,39
1,141
1,204
1,244
1,259
1,284
1,292
1,314
1,331
1,346
1,350
1,390
1,404
1,435
1,471
1,613
2,78
2,115
2,147
2,172
2,269
2,272
2,303
2,315
2,399
2,406
2,407
2,417
2,502
4,91
4,117
4,146
4,152
4,167
4,212
4,214
4,239
4,241
4,254
4,306
4,333
4,334
4,335
4,361
4,362
4,389
4,392
4,440
4,443
4,444
4,461
4,462
4,464
4,497
4,497
4,504
4,527
4,527
4,554
4,575
4,596
5,91
5,117
5,146
5,152
5,167
5,212
5,214
5,239
5,241
5,254
5,306
5,333
5,334
5,335
5,361
5,362
5,389
5,392
5,440
5,443
5,444
5,461
5,461
5,464
5,497
5,497
5,504
5,527
5,527
5,554
5,575
5,596
6,15
6,175
6,298
6,457
6,468
8,81
8,86
8,109
8,206
8,237
8,340
8,398
8,403
8,469
9,88
9,171
9,203
9,267
9,336
9,351
9,494
9,499
9,528
11,23
11,36
11,39
11,141
11,204
11,244
11,259
11,284
11,292
11,314
11,331
11,346
11,350
11,390
11,404
11,435
11,471
11,613
12,250
12,251
12,330
12,418
12,560
12,565
12,566
12,580
13,87
13,564
14,65
14,290
14,295
15,60
15,138
15,162
15,448
15,536
15,607
16,6
16,18
16,264
16,288
16,304
16,311
16,357
16,370
16,402
16,484
17,88
17,171
17,203
17,267
17,336
17,351
17,494
17,499
17,528
18,43
18,70
18,118
18,166
18,247
18,249
18,301
18,312
18,328
18,387
18,391
18,513
18,610
20,23
20,36
20,39
20,141
20,204
20,244
20,259
20,284
20,292
20,314
20,331
20,346
20,350
20,390
20,404
20,435
20,471
20,613
21,404
23,88
23,171
23,203
23,267
23,336
23,351
23,494
23,499
23,528
24,91
24,117
24,146
24,152
24,167
24,212
24,214
24,239
24,241
24,254
24,306
24,333
24,334
24,335
24,361
24,362
24,389
24,392
24,440
24,443
24,444
24,461
24,461
24,464
24,497
24,497
24,504
24,527
24,527
24,554
24,575
24,596
25,125
25,126
25,128
25,130
25,418
27,88
27,171
27,203
27,267
27,336
27,351
27,494
27,499
27,528
28,163
28,232
28,263
28,366
28,379
28,382
28,395
28,445
28,451
28,523
28,545
28,603
30,222
30,223
30,224
30,225
32,75
32,123
32,518
33,122
33,170
33,268
33,273
33,355
33,503
33,539
34,556
34,557
36,186
36,202
36,274
36,302
36,568
38,88
38,171
38,203
38,267
38,336
38,351
38,494
38,499
38,528
39,88
39,171
39,203
39,267
39,336
39,351
39,494
39,499
39,528
40,28
40,46
40,58
40,59
40,153
40,159
40,164
40,177
40,178
40,182
40,229
40,246
40,253
40,282
40,283
40,293
40,322
40,343
40,369
40,378
40,384
40,394
40,409
40,411
40,458
40,476
40,512
40,542
40,549
40,570
40,574
40,578
40,582
40,592
40,601
40,604
42,144
42,148
42,150
43,102
43,103
43,142
43,252
43,377
43,507
43,511
43,572
43,573
44,14
44,219
44,426
44,509
44,559
44,594
45,16
45,161
45,201
45,291
45,323
45,498
47,89
47,93
47,181
47,271
47,281
47,421
47,489
48,262
48,472
49,27
49,111
49,157
49,198
49,299
49,307
49,400
49,563
51,114
54,168
54,220
54,221
54,270
54,297
54,341
54,347
54,408
54,483
54,486
54,609
55,12
57,211
62,96
62,195
62,277
62,305
62,326
62,353
62,454
62,463
62,465
65,26
65,52
65,235
65,240
65,256
65,325
65,436
65,541
65,585
66,66
66,116
66,190
66,285
66,286
66,289
66,360
66,372
66,449
66,478
66,496
66,526
66,555
66,595
66,597
67,31
67,85
67,97
67,160
67,441
67,534
68,209
68,551
68,552
69,15
69,175
69,457
70,51
70,76
70,106
70,139
70,430
70,501
70,508
71,10
71,20
71,21
71,32
71,45
71,57
71,77
71,79
71,83
71,84
71,119
71,120
71,124
71,140
71,187
71,197
71,199
71,231
71,238
71,242
71,243
71,248
71,308
71,316
71,320
71,327
71,342
71,344
71,345
71,352
71,356
