EXEC_ID,HOSPITAL NAME,EXECUTIVE NAME,POSITION,AGE
0,Sir Ganga Ram Hospital,a.k. bhalla,Member,
1,Sir Ganga Ram Hospital,a.k. chaturvedi,Director Administration,
2,Sir Ganga Ram Hospital,a.k. grover,Member,
3,Sir Ganga Ram Hospital,a.k. seth,Member,
4,Aakash Health Care,aashish chaudhry,Managing Director,
5,Sir Ganga Ram Hospital,abha majumdar,Member,
6,Blk Super Speciality Hospital,abhay soi,Director,
7,K M Speciality & Pediatric Care,abhijeet bhimrao patil,Director,
8,Madras Medical Mission Hospital,abraham samuel,,
9,Madras Medical Mission Hospital,abu koshy,,
10,Jivraj Mehta Smarak Health Foundation,achalbai anilbhai bakeri,,
11,Primus Super Speciality Hospital,achla dewan,Chairman,
12,"Rockland Hospital, Qutab Institutional Area, Delhi",achutha janardhana pai,Director,
13,Global Hospital,adilakshmi kancherla,Director,
14,"Mallige Medical Centre, Bangalore",agrahar chowdappa sreeram,Managing Director,
15,"Manipal Hospital, Bangalore",ajay bakshi,Director,
15,"Manipal Hospital, Vidyanagar, Jaipur",ajay bakshi,Director,
16,"Sir H.N. Reliance Foundation Hospital & Research Centre, Mumbai",ajay bery,Director Operations,
17,Sir Ganga Ram Hospital,ajay goel,Member,
18,Kailash Hospital,ajay sharma,Chief Finance Officer,
18,Blk Super Speciality Hospital,ajay sharma,VP - Administration,
18,Kailash Deepak Memorial Hospital,ajay sharma,Chief Finance Officer,
19,Sir Ganga Ram Hospital,ajay swaroop,Honorary Secretary-cum-Treasurer,
20,Jivraj Mehta Smarak Health Foundation,ajaybhai j. patel,,
21,Jivraj Mehta Smarak Health Foundation,ajaybhai navnitbhai choski,,
22,Omega Hospital,ajilady chittaranjan rai,Director,
23,"Max Superspeciality Hospital, Shalimar Bagh, Delhi",ajit singh,Member of the Board of Directors,
23,"Max Hospital, pitampura, Delhi",ajit singh,Member of the Board of Directors,
24,"Max Super Speciality Hospital, Saket, Delhi",ajit singh ph.d.,Member of the Board of Directors,
25,Sir Ganga Ram Hospital,ajoy sehgal,Sr. Manager Media Relations,
26,"Cloudnine Hospital, Chennai",akash malik,CEO,
27,"Billroth Hospitals, Chennai",alwar ramanujam narayanasamy,Director,
28,"Jaipur Golden Hospital, Delhi",amarjeet singh,Trustee,
29,MediHope Super Speciality Hospital,amit agarwal,Managing Director,
30,Sir Ganga Ram Hospital,amitabh vira,Member,
31,"KIMS - Krishna Institute of Medical Sciences, Hyderabad",amitabha guha,Additional Director,
32,Jivraj Mehta Smarak Health Foundation,amitbhai ambalal shah,,
33,Jeevan Anmol Hospital,amol haribhau khanzode,Director,
34,Maharaja Agrasen Hospital,amrit singla,Sr. Vice President (Bahdurgarh),
35,K M Speciality & Pediatric Care,anagha yogesh rajguru,Director,
36,"Max Super Speciality Hospital, Saket, Delhi",analjit singh,Group Founder and Group Chairman Emeritus,
36,"Max Superspeciality Hospital, Shalimar Bagh, Delhi",analjit singh,Group Founder and Group Chairman Emeritus,
