,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS
0,St John Medical College and Hospital,"Sarjapur Road, Bangalore",29,1348
1,Jaypee Hospital,"Sector 128, Noida",12,1200
2,Mazumdar Shaw Medical Center,"Anekal, Bangalore",1,1200
3,KIMS - Krishna Institute of Medical Sciences,"Secunderabad, Hyderabad",163,1000
4,Global Hospital,"Perumbakkam, Chennai",75,1000
5,AMRI Hospital,"Dhakuria, Kolkata",15,1000
6,Bombay Hospital & Medical Research Centre,"Marine Lines, Mumbai",224,900
7,Bharati Vidyapeeth Deemed University & Medical College,"Dhankawadi, Pune",1,800
8,Continental Hospitals,"Gachibowli, Hyderabad",133,750
9,Deenanath Mangeshkar Hospital,"Erandwane, Pune",65,700
10,Apollo Hospitals,"Sector 26, Noida",10,700
11,Sir Ganga Ram Hospital,"Old Rajendra Nagar, Delhi",264,654
12,Blk Super Speciality Hospital,"Rajendra Nagar, Delhi",1,650
13,Blk Super Speciality Hospital,"Pusa Road, Delhi",120,650
14,Billroth Hospitals,"Shenoy Nagar, Chennai",42,600
15,St Stephens Hospital,"Tis Hazari, Delhi",93,600
16,Zydus Hospital,"Thaltej, Ahmedabad",1,550
17,Ruby Hall Clinic,"Dhole Patil Road, Pune",132,550
18,Apollo Hospitals,"Jubilee Hills, Hyderabad",175,550
19,Max Smart Super Speciality Hospital,"Saket, Delhi",97,500
20,Fortis Malar Hospital,"Adyar, Chennai",68,500
21,Yashoda Hospital,"Malakpet, Hyderabad",11,500
22,Apollo Speciality Cancer Hospital,"Teynampet, Chennai",87,500
23,Bhagwan Mahaveer Jain Hospital - Vasanthnagar,"Millers Road, Bangalore",45,500
24,Yashoda Hospital,"Secunderabad, Hyderabad",51,500
25,Aditya Birla Memorial Hospital,"Chinchwad, Pune",32,500
26,Batra Hospital & Medical Research Centre,"Tuglakabad, Delhi",58,495
27,Sunshine Hospital,"Secunderabad, Hyderabad",24,450
28,Sagar Hospitals,"Banashankari, Bangalore",2,415
29,St. Philomena's Hospital,"Viveknagar, Bangalore",55,400
30,Jain Institute of Vascular Sciences,"Vasanthnagar, Bangalore",6,400
31,Sagar Hospital DSI,"Banashankari, Bangalore",5,400
32,Fortis Hospital,"Bannerghatta Road, Bangalore",1,400
33,State Cancer Institute,"Sheikhpura, Patna",1,400
34,CIMS Hospital,"Sola, Ahmedabad",8,372
35,Jaslok Hospital,"Peddar Road, Mumbai",27,364
36,Sims Hospital (Srm Institutes For Medical Science),"Vadapalani, Chennai",15,360
37,Vivekananda Polyclinic & Institute Of Medical Sciences,"Niralanagar, Lucknow",15,350
38,Kamineni Hospitals,"LB Nagar, Hyderabad",65,350
39,Yatharth Wellness Superspeciality Hospital,"Sector 110, Noida",1,340
40,Venkateshwar Hospital,"Dwarka, Delhi",36,325
41,Kailash Hospital,"Sector 27, Noida",27,325
42,Fortis Escorts,"Okhla, Delhi",52,310
43,St.Isabel's Hospital,"Mylapore, Chennai",142,300
