,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS
0,Lifeline Multi Speciality Hospital,"Gota, Ahmedabad",7.0,20.0
1,Shilp Hospital,"Paldi, Ahmedabad",2.0,10.0
2,Dr. Jivraj Mehta Smarak Health Foundation,"Vasna, Ahmedabad",31.0,220.0
3,Uma Multispeciality Hospital,"Naroda, Ahmedabad",10.0,18.0
4,Zydus Hospital,"Thaltej, Ahmedabad",1.0,550.0
5,Akshar Multispeciality Hospital,"Vastral, Ahmedabad",1.0,15.0
6,CIMS Hospital,"Sola, Ahmedabad",8.0,372.0
7,Vraj Psychiatry Hospital,"Sabarmati, Ahmedabad",2.0,5.0
8,Cutis Hospital,"Ghatlodia, Ahmedabad",1.0,14.0
9,Nova IVI Fertility,"Navrangpura, Ahmedabad",2.0,15.0
10,Devasya Kidney Hospital,"Nava Vadaj, Ahmedabad",2.0,50.0
11,Karunesh Neuro & Spine Surgical Hospital,"Bapunagar, Ahmedabad",1.0,10.0
12,Ahmedabad Piles Fistula Hospital,"Paldi, Ahmedabad",1.0,10.0
13,Navkar ENT Hospital,"Paldi, Ahmedabad",1.0,5.0
14,People Tree Hospitals,"Yeshwanthpur, Bangalore",50.0,200.0
15,Marvel Hospital And Fertility Centre,"Koramangala 1 Block, Bangalore",15.0,30.0
16,Apollo Spectra Hospitals,"Koramangala 5 Block, Bangalore",39.0,20.0
17,Narayana Hrudhayalaya Multispeciality Hospital,"Whitefield, Bangalore",2.0,150.0
18,Cloudnine Kids,"Jayanagar, Bangalore",38.0,32.0
19,BGS Global Hospital,"Kengeri, Bangalore",27.0,100.0
20,MediHope Super Speciality Hospital,"New Thippasandra, Bangalore",16.0,110.0
21,Navachetana Hospital,"Yelahanka, Bangalore",22.0,30.0
22,Bhagwan Mahaveer Jain Hospital - Vasanthnagar,"Millers Road, Bangalore",45.0,500.0
23,St John Medical College and Hospital,"Sarjapur Road, Bangalore",29.0,1348.0
24,Koshys Hospital,"Ramamurthy Nagar, Bangalore",21.0,25.0
25,St. Philomena's Hospital,"Viveknagar, Bangalore",55.0,400.0
26,Manipal Hospital,"Old Airport Road, Bangalore",173.0,100.0
27,Axon Speciality Hospital,"Indiranagar, Bangalore",11.0,50.0
28,Queens Hospital,"HSR Layout, Bangalore",8.0,40.0
29,Narayana Multispeciality Hospital,"HSR Layout, Bangalore",2.0,90.0
30,Mallige Medical Centre,"Kumara Park West, Bangalore",48.0,150.0
31,Bharathi Nursing Home,"Basavanagudi, Bangalore",11.0,30.0
32,Sagar Hospital,"Jayanagar, Bangalore",30.0,200.0
