,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS
0,St John Medical College and Hospital,"Sarjapur Road, Bangalore",29,1348
1,Mazumdar Shaw Medical Center,"Anekal, Bangalore",1,1200
2,Jaypee Hospital,"Sector 128, Noida",1,1200
3,AMRI Hospital,"Dhakuria, Kolkata",14,1000
4,KIMS - Krishna Institute of Medical Sciences,"Secunderabad, Hyderabad",8,1000
5,Global Hospital,"Perumbakkam, Chennai",10,1000
6,Bombay Hospital & Medical Research Centre,"Marine Lines, Mumbai",10,900
7,Bharati Vidyapeeth Deemed University & Medical College,"Dhankawadi, Pune",1,800
8,Continental Hospitals,"Gachibowli, Hyderabad",12,750
9,Apollo Hospitals,"Sector 26, Noida",2,700
10,Deenanath Mangeshkar Hospital,"Erandwane, Pune",132,700
11,Sir Ganga Ram Hospital,"Old Rajendra Nagar, Delhi",18,654
12,Blk Super Speciality Hospital,"Pusa Road, Delhi",6,650
13,Blk Super Speciality Hospital,"Rajendra Nagar, Delhi",1,650
14,St Stephens Hospital,"Tis Hazari, Delhi",8,600
15,Billroth Hospitals,"Shenoy Nagar, Chennai",13,600
16,Apollo Hospitals,"Jubilee Hills, Hyderabad",1,550
17,Ruby Hall Clinic,"Dhole Patil Road, Pune",2,550
18,Zydus Hospital,"Thaltej, Ahmedabad",2,550
19,Apollo Speciality Cancer Hospital,"Teynampet, Chennai",4,500
20,Max Smart Super Speciality Hospital,"Saket, Delhi",51,500
21,Fortis Malar Hospital,"Adyar, Chennai",31,500
22,Aditya Birla Memorial Hospital,"Chinchwad, Pune",4,500
23,Yashoda Hospital,"Secunderabad, Hyderabad",3,500
24,Bhagwan Mahaveer Jain Hospital - Vasanthnagar,"Millers Road, Bangalore",45,500
25,Yashoda Hospital,"Malakpet, Hyderabad",4,500
26,Batra Hospital & Medical Research Centre,"Tuglakabad, Delhi",1,495
27,Sunshine Hospital,"Secunderabad, Hyderabad",10,450
28,Sagar Hospitals,"Banashankari, Bangalore",2,415
29,Jain Institute of Vascular Sciences,"Vasanthnagar, Bangalore",6,400
30,Sagar Hospital DSI,"Banashankari, Bangalore",5,400
31,State Cancer Institute,"Sheikhpura, Patna",4,400
32,Fortis Hospital,"Bannerghatta Road, Bangalore",1,400
33,St. Philomena's Hospital,"Viveknagar, Bangalore",55,400
34,CIMS Hospital,"Sola, Ahmedabad",1,372
35,Jaslok Hospital,"Peddar Road, Mumbai",3,364
36,Sims Hospital (Srm Institutes For Medical Science),"Vadapalani, Chennai",7,360
37,Kamineni Hospitals,"LB Nagar, Hyderabad",14,350
38,Vivekananda Polyclinic & Institute Of Medical Sciences,"Niralanagar, Lucknow",4,350
39,Noble Hospital,"Hadapsar, Pune",3,341
40,Yatharth Wellness Superspeciality Hospital,"Sector 110, Noida",1,340
41,Kailash Hospital,"Sector 27, Noida",6,325
42,Venkateshwar Hospital,"Dwarka, Delhi",3,325
43,Fortis Escorts,"Okhla, Delhi",27,310
44,Rockland Hospital,"Qutab Institutional Area, Delhi",1,301
45,Holy Spirit Hospital,"Andheri East, Mumbai",21,300
46,Max Superspeciality Hospital,"Shalimar Bagh, Delhi",2,300
47,Prashanth Multispeciality Hospital,"Chetpet, Chennai",75,300
48,St.Isabel's Hospital,"Mylapore, Chennai",4,300
