,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS
0,St John Medical College and Hospital,"Sarjapur Road, Bangalore",29.0,1348.0
1,Jaypee Hospital,"Sector 128, Noida",12.0,1200.0
2,Mazumdar Shaw Medical Center,"Anekal, Bangalore",1.0,1200.0
3,KIMS - Krishna Institute of Medical Sciences,"Secunderabad, Hyderabad",163.0,1000.0
4,Global Hospital,"Perumbakkam, Chennai",75.0,1000.0
5,AMRI Hospital,"Dhakuria, Kolkata",15.0,1000.0
6,Bombay Hospital & Medical Research Centre,"Marine Lines, Mumbai",224.0,900.0
7,Bharati Vidyapeeth Deemed University & Medical College,"Dhankawadi, Pune",1.0,800.0
8,Continental Hospitals,"Gachibowli, Hyderabad",133.0,750.0
9,Deenanath Mangeshkar Hospital,"Erandwane, Pune",65.0,700.0
10,Apollo Hospitals,"Sector 26, Noida",10.0,700.0
11,Sir Ganga Ram Hospital,"Old Rajendra Nagar, Delhi",264.0,654.0
12,Blk Super Speciality Hospital,"Rajendra Nagar, Delhi",1.0,650.0
13,Blk Super Speciality Hospital,"Pusa Road, Delhi",120.0,650.0
14,Billroth Hospitals,"Shenoy Nagar, Chennai",42.0,600.0
15,St Stephens Hospital,"Tis Hazari, Delhi",93.0,600.0
16,Zydus Hospital,"Thaltej, Ahmedabad",1.0,550.0
17,Ruby Hall Clinic,"Dhole Patil Road, Pune",132.0,550.0
18,Apollo Hospitals,"Jubilee Hills, Hyderabad",175.0,550.0
19,Max Smart Super Speciality Hospital,"Saket, Delhi",97.0,500.0
20,Fortis Malar Hospital,"Adyar, Chennai",68.0,500.0
21,Yashoda Hospital,"Malakpet, Hyderabad",11.0,500.0
22,Apollo Speciality Cancer Hospital,"Teynampet, Chennai",87.0,500.0
23,Bhagwan Mahaveer Jain Hospital - Vasanthnagar,"Millers Road, Bangalore",45.0,500.0
24,Yashoda Hospital,"Secunderabad, Hyderabad",51.0,500.0
25,Aditya Birla Memorial Hospital,"Chinchwad, Pune",32.0,500.0
26,Batra Hospital & Medical Research Centre,"Tuglakabad, Delhi",58.0,495.0
27,Sunshine Hospital,"Secunderabad, Hyderabad",24.0,450.0
28,Sagar Hospitals,"Banashankari, Bangalore",2.0,415.0
29,St. Philomena's Hospital,"Viveknagar, Bangalore",55.0,400.0
30,Jain Institute of Vascular Sciences,"Vasanthnagar, Bangalore",6.0,400.0
31,Sagar Hospital DSI,"Banashankari, Bangalore",5.0,400.0
32,Fortis Hospital,"Bannerghatta Road, Bangalore",1.0,400.0
