,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS
0,Sir Ganga Ram Hospital,"Old Rajendra Nagar, Delhi",264.0,654.0
1,Max Super Speciality Hospital,"Saket, Delhi",260.0,250.0
2,Bombay Hospital & Medical Research Centre,"Marine Lines, Mumbai",224.0,900.0
3,Bhatia  Hospital,"Tardeo, Mumbai",205.0,209.0
4,Dr. LH Hiranandani Hospital,"Powai, Mumbai",187.0,50.0
5,Apollo Hospitals,"Jubilee Hills, Hyderabad",175.0,550.0
6,Manipal Hospital,"Old Airport Road, Bangalore",173.0,100.0
7,Saifee Hospital,"Charni Road, Mumbai",170.0,256.0
8,KIMS - Krishna Institute of Medical Sciences,"Secunderabad, Hyderabad",163.0,1000.0
9,S L Raheja Fortis Hospital,"Mahim, Mumbai",158.0,140.0
10,Hinduja Hospital,"Mahim, Mumbai",148.0,50.0
11,St.Isabel's Hospital,"Mylapore, Chennai",142.0,300.0
12,Breach Candy Hospital,"Breach Candy, Mumbai",136.0,65.0
13,Max Superspeciality Hospital,"Shalimar Bagh, Delhi",135.0,300.0
14,Continental Hospitals,"Gachibowli, Hyderabad",133.0,750.0
15,Ruby Hall Clinic,"Dhole Patil Road, Pune",132.0,550.0
16,Care Hospitals,"Banjara Hills, Hyderabad",125.0,200.0
17,Masina Hospital ,"Byculla, Mumbai",121.0,232.0
18,Blk Super Speciality Hospital,"Pusa Road, Delhi",120.0,650.0
19,Fortis Hospital,"Mulund West, Mumbai",117.0,261.0
20,Godrej Memorial Hospital,"Vikhroli, Mumbai",105.0,110.0
21,Max Hospital,"Pitampura, Delhi",101.0,120.0
22,Max Smart Super Speciality Hospital,"Saket, Delhi",97.0,500.0
23,Max Multi Speciality Centre - Panchsheel Park,"Panchsheel Park, Delhi",95.0,10.0
24,St Stephens Hospital,"Tis Hazari, Delhi",93.0,600.0
25,Moolchand Hospital,"Lajpat Nagar, Delhi",89.0,50.0
26,BMS Hospital,"Basavanagudi, Bangalore",89.0,8.0
27,Fortis Hospital,"Vasant Kunj, Delhi",89.0,200.0
28,Apollo Speciality Cancer Hospital,"Teynampet, Chennai",87.0,500.0
29,Max Hospital,"Sector 19, Noida",84.0,20.0
30,Parakh Hospital,"Ghatkopar East, Mumbai",83.0,80.0
31,Apollo Spectra Hospitals,"MRC Nagar, Chennai",75.0,70.0
32,Global Hospital,"Perumbakkam, Chennai",75.0,1000.0
33,Sanjeevan Hospital,"Darya Ganj, Delhi",73.0,100.0
34,Fortis Malar Hospital,"Adyar, Chennai",68.0,500.0
35,Dr. Mehta's Hospitals,"Chetpet, Chennai",67.0,27.0
36,Mata Chanan Devi Hospital,"Janak Puri, Delhi",66.0,210.0
37,Dr Malathi Manipal Hospital,"Jayanagar 9 Block, Bangalore",65.0,80.0
38,BSES MG Hospital,"Andheri West, Mumbai",65.0,100.0
39,Kamineni Hospitals,"LB Nagar, Hyderabad",65.0,350.0
40,Deenanath Mangeshkar Hospital,"Erandwane, Pune",65.0,700.0
41,Hindustan Health Point,"Garia, Kolkata",64.0,100.0
