,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS
0,People Tree Hospitals,"Yeshwanthpur, Bangalore",49,200.0
1,Marvel Hospital And Fertility Centre,"Koramangala 1 Block, Bangalore",15,30.0
2,Apollo Spectra Hospitals,"Koramangala 5 Block, Bangalore",39,20.0
3,Narayana Hrudhayalaya Multispeciality Hospital,"Whitefield, Bangalore",2,150.0
4,Cloudnine Kids,"Jayanagar, Bangalore",39,32.0
5,BGS Global Hospital,"Kengeri, Bangalore",27,100.0
6,MediHope Super Speciality Hospital,"New Thippasandra, Bangalore",16,110.0
7,Navachetana Hospital,"Yelahanka, Bangalore",22,30.0
8,Bhagwan Mahaveer Jain Hospital - Vasanthnagar,"Millers Road, Bangalore",45,500.0
9,MS Ramaiah Memorial Hospital,"New BEL Road, Bangalore",57,
10,St John Medical College and Hospital,"Sarjapur Road, Bangalore",29,1348.0
11,Vydehi Hospital,"Whitefield, Bangalore",15,
12,Koshys Hospital,"Ramamurthy Nagar, Bangalore",21,25.0
13,St. Philomena's Hospital,"Viveknagar, Bangalore",55,400.0
14,Manipal Hospital,"Old Airport Road, Bangalore",173,100.0
15,Axon Speciality Hospital,"Indiranagar, Bangalore",11,50.0
16,Lotus Multispeciality Center,"HSR Layout, Bangalore",5,
17,Queens Hospital,"HSR Layout, Bangalore",8,40.0
18,Panacea Hospital - Nagarabhavi,"Nagarbhavi, Bangalore",56,
19,Columbia Asia Hospital,"Hebbal, Bangalore",12,
20,Narayana Multispeciality Hospital,"HSR Layout, Bangalore",2,90.0
21,Mallige Medical Centre,"Kumara Park West, Bangalore",48,150.0
22,Bharathi Nursing Home,"Basavanagudi, Bangalore",11,30.0
23,Bangalore Baptist Hospital,"Hebbal, Bangalore",53,
24,Hosmat Hospital,"Magrath Road, Bangalore",11,164.0
25,Fortis Hospital Cunningham Road,"Cunningham Road, Bangalore",43,
26,Ramakrishna Super Speciality Hospital,"Jayanagar, Bangalore",18,38.0
27,Specialist Hospital,"Kalyan Nagar, Bangalore",9,150.0
28,Sankara Eye Hospital,"Kundalahalli, Bangalore",20,25.0
29,Brookefield Hospital,"Kundalahalli, Bangalore",26,100.0
30,Mirlay Eye Care,"Frazer Town, Bangalore",7,
31,Abhaya Hospital,"Wilson Garden, Bangalore",3,100.0
32,Spandana Nursing Home,"Rajajinagar, Bangalore",6,
33,Vikram Hospital,"Millers Road, Bangalore",19,225.0
34,Greenview Medical Center,"HSR Layout, Bangalore",33,55.0
35,Acura Speciality Hospital,"Koramangala 5 Block, Bangalore",5,20.0
36,Aaxis Super Speciality Hospital,"KR Puram, Bangalore",11,
37,Sagar  Hospitals,"Jayanagar 9 Block, Bangalore",10,
38,National Institute of Mental Health and Neuro Sciences Hospital (NIMHANS),"Hosur Road, Bangalore",8,
39,Nethradhama Super Speciality Eye Hospital,"Jayanagar, Bangalore",8,
40,Apollo Cradle ,"Marathahalli, Bangalore",12,20.0
41,Milann The Fertility Center,"Kumara Park West, Bangalore",8,36.0
42,Sakhii Hospital,"BTM Layout 2nd Stage, Bangalore",2,21.0
43,Neighbourhood Hospital,"JP Nagar 7 Phase, Bangalore",14,50.0
44,K.C. Raju Multi Speciality Hospital,"Lingarajapuram, Bangalore",3,50.0
45,Fortis Hospitals,"Rajajinagar, Bangalore",24,
46,Maharaja Agrasen Hospital,"Padmanabhanagar, Bangalore",32,40.0
47,Shekar Nethralaya Super Speciality Eye Hospital,"JP Nagar 3 Phase, Bangalore",11,
48,Promed Hospital,"Banashankari 2nd Stage, Bangalore",8,25.0
49,HCG Bangalore Institute Of Oncology Speciality Centre,"Shantinagar, Bangalore",19,
50,Apollo Cradle,"Jayanagar 5 Block, Bangalore",15,20.0
51,ReSCUE -  The Urology Center,"Rajajinagar, Bangalore",9,20.0
52,Patients First (A Unit of Shraddha Health Care),"Koramangala 1 Block, Bangalore",3,4.0
53,Chaya Hospital ,"Doorvani Nagar, Bangalore",15,
54,Jeevika Hospital,"Marathahalli, Bangalore",13,80.0
55,Family Hospital,"Mathikere - BEL, Bangalore",21,20.0
56,Sri Krishna Seva Shrama Hospital,"Jayanagar, Bangalore",9,70.0
57,VIMS Speciality Hospitals,"Marathahalli, Bangalore",13,150.0
58,Supra South City Hospital,"JP Nagar 7 Phase, Bangalore",1,25.0
59,Divakars Speciality Hospital,"JP Nagar 2 Phase, Bangalore",7,25.0
60,Cloudnine Hospital,"Malleswaram, Bangalore",29,47.0
61,Spandana Hospital,"Nandini Layout, Bangalore",8,100.0
62,Diavisita Diabetes & Multispeciality Hospital,"Banashankari 3rd Stage, Bangalore",1,50.0
63,Anjani Women's Day Care Hospital,"HRBR Layout, Bangalore",2,5.0
64,Sri Ram Hospital,"KR Puram, Bangalore",7,
65,S J Hospital,"Sanjay Nagar, Bangalore",7,30.0
66,Dr Malathi Manipal Hospital,"Jayanagar 9 Block, Bangalore",65,80.0
67,Rashmi Hospital,"Indiranagar, Bangalore",2,30.0
68,Sagar Chandramma Hospitals,"VV Puram, Bangalore",16,50.0
69,Sri Sai Hospital,"Nagawara, Bangalore",10,
70,Sanjeevini MultispecialIty Hospital,"Mahalakshmi Layout, Bangalore",18,76.0
71,Bangaluru Neuro Centre,"Malleswaram, Bangalore",9,22.0
72,Fortis Medcentre,"Marathahalli, Bangalore",2,50.0
73,Kaveri Speciality Hospital,"Koramangala, Bangalore",6,10.0
74,Manohar Multispeciality Hospital,"RT Nagar, Bangalore",2,
75,Manipal Fertility,"Rajajinagar, Bangalore",3,25.0
76,The Bangalore Hospital,"Basavanagudi, Bangalore",55,
77,North Side Manipal Hospital,"Malleswaram, Bangalore",12,
78,Aayug Multi Specialty Hospital,"Kundalahalli, Bangalore",1,30.0
79,Ananya Hospital,"Rajajinagar, Bangalore",3,
80,Sri Sai Ram Hospital,"BTM Layout 2nd Stage, Bangalore",20,40.0
81,Parimala Health Care Services,"Bannerghatta Road, Bangalore",4,25.0
82,Mallya Hospital,"Sampangiramnagar, Bangalore",70,
83,Acharya Tulasi Jain  Hospital,"Yeshwanthpur, Bangalore",13,
84,R K Hospital,"Kammana Halli, Bangalore",9,
85,Maiya Multi Speciality Hospital,"Jayanagar, Bangalore",20,40.0
86,Life Care Hospital,"BTM Layout, Bangalore",10,30.0
87,Soukya Hospital,"Vidyaranyapura, Bangalore",8,20.0
88,Milann - The Fertility Center,"JP Nagar 1 Phase, Bangalore",15,25.0
89,Tamara Hospital & IVF Centre,"Rajajinagar, Bangalore",6,30.0
90,Devi Eye Hospital,"Koramangala 6 Block, Bangalore",6,10.0
91,Dr Bhargavi Reddy Women & Children Hospital,"Indiranagar, Bangalore",9,15.0
92,Fortis Hospital,"Nagarbhavi, Bangalore",36,75.0
93,Manjushree Speciality Hospital,"Ulsoor, Bangalore",9,30.0
94,Dr Rudrappa First Class Eye Care Hospital,"Richmond Town, Bangalore",6,15.0
95,Sri Vinayaka Nursing Home,"HAL 2nd Stage, Bangalore",2,3.0
96,Neha Prakash Hospital,"Yelahanka, Bangalore",9,50.0
97,Milann - The Fertility Center,"Indiranagar, Bangalore",7,10.0
98,NRR Hospitals,"Jalahalli, Bangalore",25,20.0
99,Vitalife Clinic,"Whitefield, Bangalore",10,30.0
100,Doctor Square Multispeciality Hospital,"Zirakpur, Chandigarh",5,10.0
101,Grover Eye Laser & ENT Hospital,"Sector 35, Chandigarh",6,50.0
102,Mukat Hospital & Heart Institute,"Sector 34, Chandigarh",9,40.0
103,Dashmesh Hospital,"Zirakpur, Chandigarh",3,10.0
104,Hope Clinic Maternity Centre,"Sector 21, Chandigarh",6,7.0
105,CMC Hospital,"Sector-17, Chandigarh",15,
106,VCare Hospital,"Zirakpur, Chandigarh",2,15.0
107,Eden Hospital,"Industrial Area Phase I, Chandigarh",10,100.0
108,Healing Hospital,"Sector 34, Chandigarh",1,50.0
109,Bedi Hospital & Infertility Center,"Sector-33, Chandigarh",4,
110,Dhuper Hospital,"Zirakpur, Chandigarh",1,
111,Neeraj Eye Hospital,"Sector 36, Chandigarh",1,
112,Santokh Hospital,"Chandigarh, Chandigarh",1,
113,GROVER EYE LASER HOSPITAL,"Sector 9, Chandigarh",1,
114,Mangal Nursing Home,"Sector 22, Chandigarh",5,
115,Pandhi Hospital,"Sector 36, Chandigarh",3,40.0
116,Navjot Nursing Home,"Sector 65, Chandigarh",1,
117,Shrimati Kamla Devi Memorial Charitable Dental Hospital,"Zirakpur, Chandigarh",1,
118,Sangeeta Nursing Home,"Sector 21, Chandigarh",2,7.0
119,Dr RCP Singh Memorial Dental Hospital,"Zirakpur, Chandigarh",1,
120,Sai Guru Nanak Hospital,"Sector 35, Chandigarh",4,
121,Dr. Mehta's Hospitals,"Chetpet, Chennai",67,27.0
122,Apollo Speciality Hospital,"Vanagaram, Chennai",49,50.0
123,Dr. Rabindrans Health Care Centre,"Ambattur, Chennai",12,60.0
124,Parvathi Nursing Home,"KK Nagar, Chennai",6,25.0
125,St.Isabel's Hospital,"Mylapore, Chennai",142,300.0
126,Hindu Mission Hospital,"Tambaram West, Chennai",50,220.0
127,Mercury Hospital,"Egmore, Chennai",3,30.0
128,Chennai Krishna Hospital,"Chromepet, Chennai",4,11.0
129,Fortis Malar Hospital,"Adyar, Chennai",68,500.0
130,Dr. Hariharan Diabetes & Heart Care Hospital,"Nanganallur, Chennai",33,
131,"Sundaram Medical Foundation, Anna Nagar","Anna Nagar, Chennai",12,
132,Radial Ortho Speciality Hospital,"Medavakkam, Chennai",1,10.0
133,SBS Hospital,"Virugambakkam, Chennai",15,
134,Aysha Hospital,"Purasawakkam, Chennai",11,
135,B M Hospitals,"Nanganallur, Chennai",17,70.0
136,SP Hospital,"Adambakkam, Chennai",8,
137,Mother's Speciality Hospital,"Ambattur, Chennai",4,
138,Madras ENT Research Foundation,"Raja Annamalai Puram, Chennai",13,
139,KKR ENT Hospital and Research Centre,"Kilpauk, Chennai",6,35.0
140,Bethesda Hospital & Child Care Centre,"Tambaram East, Chennai",3,35.0
141,Madras Medical Mission Hospital,"Mogappair, Chennai",31,100.0
142,Kedar Hospital,"Mugalivakkam, Chennai",9,10.0
143,Cosh,"Tambaram, Chennai",5,50.0
144,Lifeline Rigid Hospitals,"Kilpauk, Chennai",13,45.0
145,Sri Venkateswara C M Hospital,"Nanganallur, Chennai",14,30.0
146,Saraswathy Multispeciality Hospital,"Madipakkam, Chennai",15,50.0
147,Pankajam Memorial Hospital,"Nanganallur, Chennai",4,25.0
148,Srinivas Priya Hospital,"Perambur, Chennai",4,75.0
149,Rakshith Hospital,"Valasaravakkam, Chennai",28,
150,Girishwari Hospital,"Teynampet, Chennai",7,150.0
151,Hande Medical Centre,"Nungambakkam, Chennai",15,20.0
152,Frontier Lifeline Hospital,"Mogappair, Chennai",9,120.0
153,Apollo Childrens Hospital,"Thousand Lights, Chennai",19,53.0
154,Soundarapandian Bone and Joint Hospital & Research Institute,"Anna Nagar, Chennai",8,60.0
155,Srushti Fertility Centre & Women's Hospital,"Ramapuram, Chennai",14,5.0
156,Jayam Hospital & GFC Fertility,"Kodambakkam, Chennai",7,20.0
157,Billroth Hospitals,"Shenoy Nagar, Chennai",42,600.0
158,Swaram Specialty Hospital,"Sholinganallur, Chennai",5,30.0
159,Kauvery Hospitals,"Mylapore, Chennai",24,100.0
160,Dr Kamaraj Hospital For Men's Health,"Vadapalani, Chennai",5,10.0
161,Vadapalani Multi Speciality Hospital,"Vadapalani, Chennai",13,
162,Balaji Nursing Home,"Thiruvanmiyur, Chennai",3,15.0
163,Sridevi Hospital,"Anna Nagar, Chennai",20,
164,The Guest Hospital,"Kilpauk, Chennai",27,
165,Sooriya Hospital,"Saligramam, Chennai",12,200.0
166,K M Speciality & Pediatric Care,"KK Nagar, Chennai",15,100.0
167,K.J.Hospital-Research & Postgraduate Center,"Chetpet, Chennai",33,
168,Siva Head & Neck Hospital,"Royapettah, Chennai",3,10.0
