,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS
0,People Tree Hospitals,"Yeshwanthpur, Bangalore",175,200
1,Marvel Hospital And Fertility Centre,"Koramangala 1 Block, Bangalore",173,30
2,Apollo Spectra Hospitals,"Koramangala 5 Block, Bangalore",163,20
3,Narayana Hrudhayalaya Multispeciality Hospital,"Whitefield, Bangalore",135,150
4,Cloudnine Kids,"Jayanagar, Bangalore",132,32
5,BGS Global Hospital,"Kengeri, Bangalore",125,100
6,Motherhood Hospital,"Indiranagar, Bangalore",101,42
7,MediHope Super Speciality Hospital,"New Thippasandra, Bangalore",93,110
8,Navachetana Hospital,"Yelahanka, Bangalore",89,30
9,Bhagwan Mahaveer Jain Hospital - Vasanthnagar,"Millers Road, Bangalore",89,500
10,MS Ramaiah Memorial Hospital,"New BEL Road, Bangalore",56,
11,St John Medical College and Hospital,"Sarjapur Road, Bangalore",87,1348
12,Vydehi Hospital,"Whitefield, Bangalore",15,
13,Koshys Hospital,"Ramamurthy Nagar, Bangalore",76,25
14,St. Philomena's Hospital,"Viveknagar, Bangalore",75,400
15,Manipal Hospital,"Old Airport Road, Bangalore",73,100
16,Axon Speciality Hospital,"Indiranagar, Bangalore",65,50
17,Lotus Multispeciality Center,"HSR Layout, Bangalore",5,
18,Queens Hospital,"HSR Layout, Bangalore",65,40
19,Panacea Hospital - Nagarabhavi,"Nagarbhavi, Bangalore",56,
20,Columbia Asia Hospital,"Hebbal, Bangalore",12,
21,Narayana Multispeciality Hospital,"HSR Layout, Bangalore",65,90
22,Mallige Medical Centre,"Kumara Park West, Bangalore",63,150
23,Bharathi Nursing Home,"Basavanagudi, Bangalore",62,30
24,Sagar Hospital,"Jayanagar, Bangalore",61,200
25,Motherhood Hospital,"Sarjapur Road, Bangalore",59,48
26,Hosmat Hospital,"Magrath Road, Bangalore",58,164
27,Fortis Hospital Cunningham Road,"Cunningham Road, Bangalore",43,
28,Specialist Hospital,"Kalyan Nagar, Bangalore",57,150
29,Ramakrishna Super Speciality Hospital,"Jayanagar, Bangalore",57,38
30,Bangalore Baptist Hospital,"Hebbal, Bangalore",52,
31,Mirlay Eye Care,"Frazer Town, Bangalore",7,
32,Abhaya Hospital,"Wilson Garden, Bangalore",56,100
33,Spandana Nursing Home,"Rajajinagar, Bangalore",6,
34,Vikram Hospital,"Millers Road, Bangalore",55,225
35,Acura Speciality Hospital,"Koramangala 5 Block, Bangalore",52,20
36,Sagar  Hospitals,"Jayanagar 9 Block, Bangalore",10,
37,National Institute of Mental Health and Neuro Sciences Hospital (NIMHANS),"Hosur Road, Bangalore",8,
38,Nethradhama Super Speciality Eye Hospital,"Jayanagar, Bangalore",8,
39,Brookefield Hospital,"Kundalahalli, Bangalore",52,100
40,Milann The Fertility Center,"Kumara Park West, Bangalore",51,36
41,Sakhii Hospital,"BTM Layout 2nd Stage, Bangalore",51,21
42,Neighbourhood Hospital,"JP Nagar 7 Phase, Bangalore",50,50
43,K.C. Raju Multi Speciality Hospital,"Lingarajapuram, Bangalore",50,50
44,Maharaja Agrasen Hospital,"Padmanabhanagar, Bangalore",48,40
45,Fortis Hospitals,"Rajajinagar, Bangalore",22,
46,Shekar Nethralaya Super Speciality Eye Hospital,"JP Nagar 3 Phase, Bangalore",11,
47,HCG Bangalore Institute Of Oncology Speciality Centre,"Shantinagar, Bangalore",19,
48,ReSCUE -  The Urology Center,"Rajajinagar, Bangalore",48,20
49,Patients First (A Unit of Shraddha Health Care),"Koramangala 1 Block, Bangalore",47,4
50,Chaya Hospital ,"Doorvani Nagar, Bangalore",15,
51,Jeevika Hospital,"Marathahalli, Bangalore",46,80
52,Family Hospital,"Mathikere - BEL, Bangalore",45,20
53,Mazumdar Shaw Medical Center,"Anekal, Bangalore",43,1200
54,Sri Krishna Seva Shrama Hospital,"Jayanagar, Bangalore",43,70
55,VIMS Speciality Hospitals,"Marathahalli, Bangalore",42,150
56,Motherhood Hospital,"Sahakaranagar, Bangalore",42,42
57,Supra South City Hospital,"JP Nagar 7 Phase, Bangalore",42,25
58,Divakars Speciality Hospital,"JP Nagar 2 Phase, Bangalore",42,25
59,Cloudnine Hospital,"Malleswaram, Bangalore",41,47
60,Diavisita Diabetes & Multispeciality Hospital,"Banashankari 3rd Stage, Bangalore",40,50
61,Sri Ram Hospital,"KR Puram, Bangalore",7,
62,Anjani Women's Day Care Hospital,"HRBR Layout, Bangalore",39,5
63,S J Hospital,"Sanjay Nagar, Bangalore",39,30
64,Dr Malathi Manipal Hospital,"Jayanagar 9 Block, Bangalore",39,80
65,Rashmi Hospital,"Indiranagar, Bangalore",37,30
66,Sagar Chandramma Hospitals,"VV Puram, Bangalore",37,50
67,Sri Sai Hospital,"Nagawara, Bangalore",10,
68,Bangaluru Neuro Centre,"Malleswaram, Bangalore",36,22
69,Sanjeevini MultispecialIty Hospital,"Mahalakshmi Layout, Bangalore",36,76
70,Fortis Medcentre,"Marathahalli, Bangalore",35,50
71,Manohar Multispeciality Hospital,"RT Nagar, Bangalore",2,
72,Kaveri Speciality Hospital,"Koramangala, Bangalore",35,10
73,Manipal Fertility,"Rajajinagar, Bangalore",35,25
74,The Bangalore Hospital,"Basavanagudi, Bangalore",55,
75,North Side Manipal Hospital,"Malleswaram, Bangalore",12,
76,Aayug Multi Specialty Hospital,"Kundalahalli, Bangalore",34,30
77,Ananya Hospital,"Rajajinagar, Bangalore",3,
78,Sri Sai Ram Hospital,"BTM Layout 2nd Stage, Bangalore",34,40
79,Parimala Health Care Services,"Bannerghatta Road, Bangalore",34,25
80,Acharya Tulasi Jain  Hospital,"Yeshwanthpur, Bangalore",13,
81,R K Hospital,"Kammana Halli, Bangalore",9,
82,Maiya Multi Speciality Hospital,"Jayanagar, Bangalore",34,40
83,Life Care Hospital,"BTM Layout, Bangalore",33,30
84,Soukya Hospital,"Vidyaranyapura, Bangalore",33,20
85,Milann - The Fertility Center,"JP Nagar 1 Phase, Bangalore",33,25
86,Tamara Hospital & IVF Centre,"Rajajinagar, Bangalore",33,30
87,Dr Bhargavi Reddy Women & Children Hospital,"Indiranagar, Bangalore",33,15
88,Fortis Hospital,"Nagarbhavi, Bangalore",33,75
89,Devi Eye Hospital,"Koramangala 6 Block, Bangalore",33,10
90,Manjushree Speciality Hospital,"Ulsoor, Bangalore",33,30
91,Dr Rudrappa First Class Eye Care Hospital,"Richmond Town, Bangalore",33,15
92,Sri Vinayaka Nursing Home,"HAL 2nd Stage, Bangalore",32,3
93,Neha Prakash Hospital,"Yelahanka, Bangalore",32,50
94,Milann - The Fertility Center,"Indiranagar, Bangalore",32,10
95,NRR Hospitals,"Jalahalli, Bangalore",32,20
96,Cloudnine Hospital,"Whitefield, Bangalore",32,13
97,Rajashri Grandhim Speciality Hospital,"Bannerghatta Road, Bangalore",32,20
98,Vitalife Clinic,"Whitefield, Bangalore",31,30
99,RC Hospital ,"Rajarajeshwarinagar, Bangalore",31,20
100,Shree  Dhanvantari Ayurveda Hospital,"Rajajinagar, Bangalore",31,6
101,S K Hospital,"Nagarbhavi, Bangalore",30,20
102,Excel Care Hospital,"Banashankari 2nd Stage, Bangalore",30,44
103,Belle Vue's Cambridge Hospital,"Ulsoor, Bangalore",30,25
104,Unity Life Line Hospital,"Nagarbhavi, Bangalore",29,60
105,Chinmaya Narayana Super Speciality Centre,"Indiranagar, Bangalore",6,
106,Lakshmi Hospital.,"Ganganagar, Bangalore",29,20
107,Rainbow Clinic& Diagnostic Laboratory ,"JP Nagar 7 Phase, Bangalore",4,
108,Chaitanya Hospital,"RT Nagar, Bangalore",8,
109,Sri Sai Krupa Hospitals,"Mathikere - BEL, Bangalore",29,20
110,Saikrupa Hospital For Women & Surgical Center,"Vijayanagar, Bangalore",29,20
111,Sankara Eye Hospital,"Kundalahalli, Bangalore",29,25
112,HealthEminds,"Whitefield, Bangalore",17,
113,Manipal Ankur Andrology & Reproductive Services,"Old Airport Road, Bangalore",5,
114,Dr Malathi Manipal Hospital,"Jayanagar, Bangalore",1,
115,Gayathri Hospital,"Vijayanagar, Bangalore",28,15
116,Nelivigi Eye Hospital And Surgical Centre.,"Bellandur, Bangalore",1,
117,Sparsh Hospital,"Hosur Road, Bangalore",28,150
118,Sidvin Hospital ,"Rajajinagar, Bangalore",28,50
119,Siddanth Hospital ENT & Multispeciality Centre,"Siddapura, Bangalore",28,10
120,Geeta Nursing Home,"RT Nagar, Bangalore",1,
121,Sunanda Gopalaswamy Hospital,"Banashankari 3rd Stage, Bangalore",6,
122,Sri Venkateswara Hospital,"Madiwala, Bangalore",28,30
123,Seventh Day Adventist Hospital,"Frazer Town, Bangalore",12,
124,Suguna Hosptial,"Rajajinagar, Bangalore",34,
125,Live 100 Hospital,"Singasandra, Bangalore",28,150
126,Poornima Hospital,"RT Nagar, Bangalore",27,30
127,WestGate Medical Centre & Diagnostics,"Basavanagudi, Bangalore",12,
128,Shanthi Hospital and Research Center,"Jayanagar 7 Block, Bangalore",27,40
129,Ovum Fertility & Women's Health Center,"Kalyan Nagar, Bangalore",27,6
130,Patil Hospital,"KR Puram, Bangalore",15,
131,Vasan Eye Care Hospital,"Marathahalli, Bangalore",27,7
132,Sevakshetra Hospital,"Banashankari 2nd Stage, Bangalore",20,
133,Prashanth Hospital,"Bommanahalli, Bangalore",27,80
134,Varalakshmi Hospital,"BTM Layout, Bangalore",27,25
135,Shanbhag Hospital ,"Basaveshwaranagar, Bangalore",7,
136,Nano Hospitals,"Hulimavu, Bangalore",27,30
137,NU Hospitals,"Rajajinagar, Bangalore",27,100
138,Punarjani Ayurveda Multi-Speciality Hospital,"Sarjapur Road, Bangalore",26,22
139,P D Hinduja Sindhi Hospital ,"Sampangiramnagar, Bangalore",26,100
140,Sri Lakshmi Super Speciality Hospital,"CV Raman Nagar, Bangalore",26,50
141,K C General Hospital ,"Malleswaram, Bangalore",11,
142,Arunodaya Hospital,"Jalahalli, Bangalore",11,
143,Prasad Eye Hospital,"Koramangala, Bangalore",26,2
144,Shekhar Hospital,"Jayanagar, Bangalore",26,24
145,Gurushree Hospital,"Vijayanagar, Bangalore",20,
146,Pristine Hospital,"West Of Chord Road, Bangalore",26,100
147,Banaswadi medical centre,"Banaswadi, Bangalore",7,
148,Vasan Eye Care Hospital,"RT Nagar, Bangalore",25,11
149,Ramakrishna Smart Hospitals,"Electronics City, Bangalore",25,6
150,Gangothri Hospital,"HSR Layout, Bangalore",4,
151,Vinayaka Hospital,"Hongasandra, Bangalore",25,15
152,Spandana Hospital For Mother And Child,"Ramamurthy Nagar, Bangalore",25,5
153,Phoenix Hospital,"Mission Road, Bangalore",25,
154,Om Shakthi Hospital,"Yelahanka, Bangalore",14,
155,Prasantha Hospital,"Hosur Road, Bangalore",5,
156,Y.K. Hospital,"Jigani, Bangalore",11,
157,Shreya Hospital,"Kengeri, Bangalore",25,20
158,Gunasheela Surgical And Maternity Center,"Basavanagudi, Bangalore",25,60
159,Wellspring Mother & Child Hospital,"Sadashivanagar, Bangalore",25,25
160,Trinity Hospital and Heart Foundation,"Basavanagudi, Bangalore",25,100
161,Sagar Hospitals,"Banashankari, Bangalore",25,415
162,Geetha Maternity And Surgical Centre,"Rajarajeshwarinagar, Bangalore",25,11
163,Sathya Hospital,"Kammana Halli, Bangalore",6,
164,Spectrum Physio Centre,"Richmond Town, Bangalore",25,75
165,City Hospital,"Frazer Town, Bangalore",1,
166,Dr. Sailaja's Super Speciality Eye Hospital,"Horamavu, Bangalore",24,50
167,Apoorva Diagnostics Centre,"Indiranagar, Bangalore",9,
168,Vijayanagar Global Hospital,"Vijayanagar, Bangalore",4,
169,The Eye Foundation Eye hospital,"Bellandur, Bangalore",16,
170,Rajnandini Hospital,"Konanakunte, Bangalore",2,
171,Vinayaka Hospital,"Jayanagar, Bangalore",24,8
172,Bangalore Fetal Medicine Centre,"Richmond Town, Bangalore",2,
173,N D R Hospital,"Yelahanka, Bangalore",24,15
174,Medicure Hospitals,"Jayanagar, Bangalore",4,
175,Nagappa Hadli Hospital,"Vidyaranyapura, Bangalore",3,
176,Bangalore Hospital ,"Jayanagar, Bangalore",23,55
177,Punya Hospital,"Basaveshwaranagar, Bangalore",23,60
178,Yogananda Multispecialty Hospital,"Padmanabhanagar, Bangalore",23,30
179,Ring Road Hospital,"Banashankari, Bangalore",23,10
180,Bgs Global Hospitals,"Kengeri, Bangalore",23,10
181,Zion Hospital,"Kammana Halli, Bangalore",23,55
182,Divine Speciality Hospital,"Shivajinagar, Bangalore",22,
183,Sri Sai Nothside Hospital,"Sahakaranagar, Bangalore",1,
184,N.D.R Medical Centre,"Yelahanka, Bangalore",23,20
185,Nethradhama Superspeciality Eye Hospital,"Rajajinagar, Bangalore",1,
186,Sun Orthopaedic Hospital,"Mathikere - BEL, Bangalore",22,20
187,Sri Sai Eye Hospital,"Ramamurthy Nagar, Bangalore",19,
188,Ravi Kirloskar Memorial Hospital,"Peenya, Bangalore",23,
189,Sita Bhateja Specialty Hospital,"Langford Road, Bangalore",22,30
190,Pranavam Ayurvedic Treatment Centre,"Koramangala 1 Block, Bangalore",22,2
191,Sri Vinayaka Hospital,"Chandra Layout, Bangalore",3,
192,Samprathi Eye Hospital and Squint Centre,"Shivajinagar, Bangalore",29,
193,Aryan Hospital,"Nagarbhavi, Bangalore",22,50
194,Bharat Nursing Home,"JP Nagar, Bangalore",3,
