,ID,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS
0,0,Sir Ganga Ram Hospital,"Old Rajendra Nagar, Delhi",264,654
1,1,Max Super Speciality Hospital,"Saket, Delhi",260,250
2,2,Bombay Hospital & Medical Research Centre,"Marine Lines, Mumbai",224,900
3,3,Bhatia  Hospital,"Tardeo, Mumbai",205,209
4,4,Dr. LH Hiranandani Hospital,"Powai, Mumbai",187,50
5,5,Apollo Hospitals,"Jubilee Hills, Hyderabad",175,550
6,6,Manipal Hospital,"Old Airport Road, Bangalore",173,100
7,7,Saifee Hospital,"Charni Road, Mumbai",170,256
8,8,KIMS - Krishna Institute of Medical Sciences,"Secunderabad, Hyderabad",163,1000
9,9,S L Raheja Fortis Hospital,"Mahim, Mumbai",158,140
10,10,Hinduja Hospital,"Mahim, Mumbai",148,50
11,11,St.Isabel's Hospital,"Mylapore, Chennai",142,300
12,12,Breach Candy Hospital,"Breach Candy, Mumbai",136,65
13,13,Max Superspeciality Hospital,"Shalimar Bagh, Delhi",135,300
14,14,Continental Hospitals,"Gachibowli, Hyderabad",133,750
15,15,Ruby Hall Clinic,"Dhole Patil Road, Pune",132,550
16,16,Care Hospitals,"Banjara Hills, Hyderabad",125,200
17,17,Masina Hospital ,"Byculla, Mumbai",121,232
18,18,Blk Super Speciality Hospital,"Pusa Road, Delhi",120,650
19,19,Fortis Hospital,"Mulund West, Mumbai",117,261
20,20,Godrej Memorial Hospital,"Vikhroli, Mumbai",105,110
21,21,Max Hospital,"Pitampura, Delhi",101,120
22,22,Max Smart Super Speciality Hospital,"Saket, Delhi",97,500
23,23,Max Multi Speciality Centre - Panchsheel Park,"Panchsheel Park, Delhi",95,10
24,24,St Stephens Hospital,"Tis Hazari, Delhi",93,600
25,25,Moolchand Hospital,"Lajpat Nagar, Delhi",89,50
26,26,BMS Hospital,"Basavanagudi, Bangalore",89,8
27,27,Fortis Hospital,"Vasant Kunj, Delhi",89,200
28,28,Apollo Speciality Cancer Hospital,"Teynampet, Chennai",87,500
29,29,Max Hospital,"Sector 19, Noida",84,20
30,30,Parakh Hospital,"Ghatkopar East, Mumbai",83,80
31,31,Apollo Spectra Hospitals,"MRC Nagar, Chennai",75,70
32,32,Global Hospital,"Perumbakkam, Chennai",75,1000
33,33,Sanjeevan Hospital,"Darya Ganj, Delhi",73,100
34,34,Fortis Malar Hospital,"Adyar, Chennai",68,500
35,35,Dr. Mehta's Hospitals,"Chetpet, Chennai",67,27
36,36,Mata Chanan Devi Hospital,"Janak Puri, Delhi",66,210
37,37,Dr Malathi Manipal Hospital,"Jayanagar 9 Block, Bangalore",65,80
38,38,BSES MG Hospital,"Andheri West, Mumbai",65,100
39,39,Kamineni Hospitals,"LB Nagar, Hyderabad",65,350
40,40,Deenanath Mangeshkar Hospital,"Erandwane, Pune",65,700
41,41,Hindustan Health Point,"Garia, Kolkata",64,100
42,42,Green City Hospital,"JP Nagar 6 Phase, Bangalore",62,25
43,43,Manjunath Hospital,"Wilson Garden, Bangalore",59,30
44,44,Batra Hospital & Medical Research Centre,"Tuglakabad, Delhi",58,495
45,45,Shashwat Hospital,"Kothrud, Pune",58,30
46,46,Innova Hospital And Research Centre,"Tarnaka, Hyderabad",57,100
47,47,Ananda Hospital,"LB Nagar, Hyderabad",57,10
48,48,St. Philomena's Hospital,"Viveknagar, Bangalore",55,400
49,49,Matushree Hospital,"Kandivali West, Mumbai",54,14
50,50,Apollo Speciality Hospitals,"OMR Road, Chennai",52,70
51,51,Apollo Spectra Hospital,"Alwarpet, Chennai",52,24
52,52,Fortis Escorts,"Okhla, Delhi",52,310
53,53,Yashoda Hospital,"Secunderabad, Hyderabad",51,500
54,54,Jaipur Golden Hospital,"Rohini, Delhi",51,250
55,55,Apollo Speciality Hospital,"Vanagaram, Chennai",50,50
56,56,People Tree Hospitals,"Yeshwanthpur, Bangalore",50,200
57,57,Fortis Hospital,"Shalimar Bagh, Delhi",50,282
58,58,Hindu Mission Hospital,"Tambaram West, Chennai",50,220
59,59,Surya Mother and Child Super Speciality Hospital,"Santacruz West, Mumbai",48,70
60,60,Unik Care Hospital,"Mallepally, Hyderabad",48,20
61,61,Mallige Medical Centre,"Kumara Park West, Bangalore",48,150
62,62,Shradha Multispeciality Hospital,"Narela, Delhi",47,20
63,63,Fortis La Femme,"Greater Kailash Part 2, Delhi",45,38
64,64,Bhagwan Mahaveer Jain Hospital - Vasanthnagar,"Millers Road, Bangalore",45,500
65,65,Fortis Hospital,"Sector 62, Noida",44,75
66,66,Max Super Speciality Hospital,"Patparganj, Delhi",44,50
67,67,Retreat Hospital,"Malakpet, Hyderabad",43,20
68,68,Birthright By Rainbow,"Kondapur, Hyderabad",43,40
69,69,Abhijay Hospital Pvt Ltd,"Perambur, Chennai",43,100
70,70,BHARATHY HOSPITAL,"Vijayanagar, Bangalore",42,30
71,71,ACE Hospital,"Erandwane, Pune",42,40
72,72,IndoGulf Hospital & Diagnostics,"Sector 19, Noida",42,50
73,73,Billroth Hospitals,"Shenoy Nagar, Chennai",42,600
74,74,Padmini Nursing Home,"Chetpet, Chennai",40,15
75,75,Criti Care Multi Speciality Hospital & Research Centre,"Andheri West, Mumbai",39,100
76,76,Apollo Spectra Hospitals,"Koramangala 5 Block, Bangalore",39,20
77,77,Cloudnine Kids,"Jayanagar, Bangalore",38,32
78,78,Guru Nanak Hospital,"Bandra East, Mumbai",37,120
79,79,Maharashtra Medical Foundation - Joshi Hospital,"Shivaji Nagar, Pune",37,110
80,80,Venus Mother & Child Hospital,"Lal Bazaar, Hyderabad",37,15
81,81,Endoscopy Asia,"Sion West, Mumbai",37,80
82,82,Venkateshwar Hospital,"Dwarka, Delhi",36,325
83,83,Fortis Hospital,"Nagarbhavi, Bangalore",36,75
84,84,Sancheti Hospital,"Shivaji Nagar, Pune",35,200
85,85,Sitaram Bhartia Institute Of Science & Research,"Qutab Institutional Area, Delhi",35,70
86,86,Birthright By Rainbow,"Bannerghatta Road, Bangalore",34,20
87,87,Aakash Hospital,"Malviya Nagar, Delhi",34,50
88,88,Medwin Hospitals,"Nampally, Hyderabad",34,200
89,89,Shree Jeewan Hospital,"Karol Bagh, Delhi",33,52
90,90,Sahyadri Hospital,"Bibvewadi, Pune",33,31
91,91,Apoorva Hospital,"Mehdipatnam, Hyderabad",33,20
92,92,Sri Sri Holistic Hospitals,"Nizampet, Hyderabad",33,100
93,93,People Tree Hospitals - Meenakshi,"Banashankari, Bangalore",33,100
94,94,Cloudnine Hospital,"T Nagar, Chennai",33,150
95,95,Maru Hospital,"Parel, Mumbai",33,20
96,96,Rockland Hospital,"Dwarka, Delhi",33,100
97,97,Sahyadri Hospitals,"Deccan Gymkhana, Pune",33,200
98,98,Indraprastha Apollo Hospitals,"Sarita Vihar, Delhi",32,100
99,99,KIMS Hospital,"Kondapur, Hyderabad",32,150
100,100,Holy Spirit Hospital,"Andheri East, Mumbai",32,300
101,101,Aditya Birla Memorial Hospital,"Chinchwad, Pune",32,500
102,102,Maharaja Agrasen Hospital,"Padmanabhanagar, Bangalore",32,40
103,103,Sahyadri Hospital,"Kothrud, Pune",32,30
104,104,CARE HOSPITAL ( GURUNANAK ) MUSHEERABAD,"Musheerabad, Hyderabad",32,90
105,105,Zoi Hospitals,"Somajiguda, Hyderabad",31,104
106,106,Manipal Hospital,"Vidhyadhar Nagar, Jaipur",31,251
107,107,Madras Medical Mission Hospital,"Mogappair, Chennai",31,100
108,108,Dr. Jivraj Mehta Smarak Health Foundation,"Vasna, Ahmedabad",31,220
109,109,Vs Hospitals - Multi Speciality,"Chetpet, Chennai",31,50
110,110,Eshwar Women & Day Care Hospital,"Jakkur, Bangalore",30,10
111,111,Sri Balaji Hospital,"Guindy, Chennai",30,55
112,112,Goyal Hospital & Urology Centre,"Krishna Nagar, Delhi",30,80
113,113,MaxCure Hospitals,"Madhapur, Hyderabad",30,220
114,114,Sagar Hospital,"Jayanagar, Bangalore",30,200
115,115,Cloudnine Hospital,"Malleswaram, Bangalore",29,47
116,116,Bhagat Hospital,"Janak Puri, Delhi",29,35
117,117,An - Noor Eye Hospital,"Periyamet, Chennai",29,5
118,118,St John Medical College and Hospital,"Sarjapur Road, Bangalore",29,1348
119,119,Elbit Polyclinics Tarnaka,"Secunderabad, Hyderabad",29,56
120,120,Belle Vue Clinic,"Minto Park, Kolkata",29,6
121,121,Noble Hospital,"Purasawakkam, Chennai",29,25
122,122,S R Multispeciality Hospital,"Arumbakkam, Chennai",28,30
123,123,Deepam Hospitals,"Chromepet, Chennai",28,40
124,124,VS Hospitals - Centre for Advanced Surgeries and Tertiary Care,"Kilpauk, Chennai",28,50
125,125,Tirath Ram Shah Hospital,"Civil Lines, Delhi",28,200
126,126,Westend Speciality Petcare And Nursing Center,"Seshadripuram, Bangalore",28,5
