,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS
0,Sir Ganga Ram Hospital,"Old Rajendra Nagar, Delhi",264,654
1,Max Super Speciality Hospital,"Saket, Delhi",260,250
2,Bombay Hospital & Medical Research Centre,"Marine Lines, Mumbai",224,900
3,Bhatia  Hospital,"Tardeo, Mumbai",205,209
4,Dr. LH Hiranandani Hospital,"Powai, Mumbai",187,50
5,Apollo Hospitals,"Jubilee Hills, Hyderabad",175,550
6,Manipal Hospital,"Old Airport Road, Bangalore",173,100
7,Saifee Hospital,"Charni Road, Mumbai",170,256
8,KIMS - Krishna Institute of Medical Sciences,"Secunderabad, Hyderabad",163,1000
9,S L Raheja Fortis Hospital,"Mahim, Mumbai",158,140
10,Hinduja Hospital,"Mahim, Mumbai",148,50
11,St.Isabel's Hospital,"Mylapore, Chennai",142,300
12,Breach Candy Hospital,"Breach Candy, Mumbai",136,65
13,Max Superspeciality Hospital,"Shalimar Bagh, Delhi",135,300
14,Continental Hospitals,"Gachibowli, Hyderabad",133,750
15,Ruby Hall Clinic,"Dhole Patil Road, Pune",132,550
16,Care Hospitals,"Banjara Hills, Hyderabad",125,200
17,Masina Hospital ,"Byculla, Mumbai",121,232
18,Blk Super Speciality Hospital,"Pusa Road, Delhi",120,650
19,Fortis Hospital,"Mulund West, Mumbai",117,261
20,Godrej Memorial Hospital,"Vikhroli, Mumbai",105,110
21,Max Hospital,"Pitampura, Delhi",101,120
22,Max Smart Super Speciality Hospital,"Saket, Delhi",97,500
23,Max Multi Speciality Centre - Panchsheel Park,"Panchsheel Park, Delhi",95,10
24,St Stephens Hospital,"Tis Hazari, Delhi",93,600
25,Moolchand Hospital,"Lajpat Nagar, Delhi",89,50
26,BMS Hospital,"Basavanagudi, Bangalore",89,8
27,Fortis Hospital,"Vasant Kunj, Delhi",89,200
28,Apollo Speciality Cancer Hospital,"Teynampet, Chennai",87,500
29,Max Hospital,"Sector 19, Noida",84,20
30,Parakh Hospital,"Ghatkopar East, Mumbai",83,80
31,Apollo Spectra Hospitals,"MRC Nagar, Chennai",75,70
32,Global Hospital,"Perumbakkam, Chennai",75,1000
33,Sanjeevan Hospital,"Darya Ganj, Delhi",73,100
34,Fortis Malar Hospital,"Adyar, Chennai",68,500
35,Dr. Mehta's Hospitals,"Chetpet, Chennai",67,27
36,Mata Chanan Devi Hospital,"Janak Puri, Delhi",66,210
37,Dr Malathi Manipal Hospital,"Jayanagar 9 Block, Bangalore",65,80
38,BSES MG Hospital,"Andheri West, Mumbai",65,100
39,Kamineni Hospitals,"LB Nagar, Hyderabad",65,350
40,Deenanath Mangeshkar Hospital,"Erandwane, Pune",65,700
41,Hindustan Health Point,"Garia, Kolkata",64,100
42,Green City Hospital,"JP Nagar 6 Phase, Bangalore",62,25
43,Manjunath Hospital,"Wilson Garden, Bangalore",59,30
44,Batra Hospital & Medical Research Centre,"Tuglakabad, Delhi",58,495
45,Shashwat Hospital,"Kothrud, Pune",58,30
46,Innova Hospital And Research Centre,"Tarnaka, Hyderabad",57,100
47,Ananda Hospital,"LB Nagar, Hyderabad",57,10
48,St. Philomena's Hospital,"Viveknagar, Bangalore",55,400
49,Matushree Hospital,"Kandivali West, Mumbai",54,14
50,Apollo Speciality Hospitals,"OMR Road, Chennai",52,70
51,Apollo Spectra Hospital,"Alwarpet, Chennai",52,24
52,Fortis Escorts,"Okhla, Delhi",52,310
53,Yashoda Hospital,"Secunderabad, Hyderabad",51,500
54,Jaipur Golden Hospital,"Rohini, Delhi",51,250
55,Apollo Speciality Hospital,"Vanagaram, Chennai",50,50
56,People Tree Hospitals,"Yeshwanthpur, Bangalore",50,200
57,Fortis Hospital,"Shalimar Bagh, Delhi",50,282
58,Hindu Mission Hospital,"Tambaram West, Chennai",50,220
59,Surya Mother and Child Super Speciality Hospital,"Santacruz West, Mumbai",48,70
60,Unik Care Hospital,"Mallepally, Hyderabad",48,20
61,Mallige Medical Centre,"Kumara Park West, Bangalore",48,150
62,Shradha Multispeciality Hospital,"Narela, Delhi",47,20
