,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS
0,Sir Ganga Ram Hospital,"Old Rajendra Nagar, Delhi",264,654
1,Max Super Speciality Hospital,"Saket, Delhi",260,250
2,Bombay Hospital & Medical Research Centre,"Marine Lines, Mumbai",224,900
3,Bhatia  Hospital,"Tardeo, Mumbai",205,209
5,Apollo Hospitals,"Jubilee Hills, Hyderabad",175,550
6,Manipal Hospital,"Old Airport Road, Bangalore",173,100
7,Saifee Hospital,"Charni Road, Mumbai",170,256
8,KIMS - Krishna Institute of Medical Sciences,"Secunderabad, Hyderabad",163,1000
9,S L Raheja Fortis Hospital,"Mahim, Mumbai",158,140
11,St.Isabel's Hospital,"Mylapore, Chennai",142,300
13,Max Superspeciality Hospital,"Shalimar Bagh, Delhi",135,300
14,Continental Hospitals,"Gachibowli, Hyderabad",133,750
15,Ruby Hall Clinic,"Dhole Patil Road, Pune",132,550
16,Care Hospitals,"Banjara Hills, Hyderabad",125,200
17,Masina Hospital ,"Byculla, Mumbai",121,232
18,Blk Super Speciality Hospital,"Pusa Road, Delhi",120,650
19,Fortis Hospital,"Mulund West, Mumbai",117,261
20,Godrej Memorial Hospital,"Vikhroli, Mumbai",105,110
21,Max Hospital,"Pitampura, Delhi",101,120
22,Max Smart Super Speciality Hospital,"Saket, Delhi",97,500
24,St Stephens Hospital,"Tis Hazari, Delhi",93,600
27,Fortis Hospital,"Vasant Kunj, Delhi",89,200
28,Apollo Speciality Cancer Hospital,"Teynampet, Chennai",87,500
32,Global Hospital,"Perumbakkam, Chennai",75,1000
33,Sanjeevan Hospital,"Darya Ganj, Delhi",73,100
34,Fortis Malar Hospital,"Adyar, Chennai",68,500
36,Mata Chanan Devi Hospital,"Janak Puri, Delhi",66,210
38,BSES MG Hospital,"Andheri West, Mumbai",65,100
39,Kamineni Hospitals,"LB Nagar, Hyderabad",65,350
40,Deenanath Mangeshkar Hospital,"Erandwane, Pune",65,700
41,Hindustan Health Point,"Garia, Kolkata",64,100
44,Batra Hospital & Medical Research Centre,"Tuglakabad, Delhi",58,495
46,Innova Hospital And Research Centre,"Tarnaka, Hyderabad",57,100
48,St. Philomena's Hospital,"Viveknagar, Bangalore",55,400
52,Fortis Escorts,"Okhla, Delhi",52,310
53,Yashoda Hospital,"Secunderabad, Hyderabad",51,500
54,Jaipur Golden Hospital,"Rohini, Delhi",51,250
56,People Tree Hospitals,"Yeshwanthpur, Bangalore",50,200
57,Fortis Hospital,"Shalimar Bagh, Delhi",50,282
58,Hindu Mission Hospital,"Tambaram West, Chennai",50,220
61,Mallige Medical Centre,"Kumara Park West, Bangalore",48,150
64,Bhagwan Mahaveer Jain Hospital - Vasanthnagar,"Millers Road, Bangalore",45,500
69,Abhijay Hospital Pvt Ltd,"Perambur, Chennai",43,100
73,Billroth Hospitals,"Shenoy Nagar, Chennai",42,600
75,Criti Care Multi Speciality Hospital & Research Centre,"Andheri West, Mumbai",39,100
78,Guru Nanak Hospital,"Bandra East, Mumbai",37,120
79,Maharashtra Medical Foundation - Joshi Hospital,"Shivaji Nagar, Pune",37,110
82,Venkateshwar Hospital,"Dwarka, Delhi",36,325
84,Sancheti Hospital,"Shivaji Nagar, Pune",35,200
88,Medwin Hospitals,"Nampally, Hyderabad",34,200
92,Sri Sri Holistic Hospitals,"Nizampet, Hyderabad",33,100
93,People Tree Hospitals - Meenakshi,"Banashankari, Bangalore",33,100
94,Cloudnine Hospital,"T Nagar, Chennai",33,150
96,Rockland Hospital,"Dwarka, Delhi",33,100
97,Sahyadri Hospitals,"Deccan Gymkhana, Pune",33,200
98,Indraprastha Apollo Hospitals,"Sarita Vihar, Delhi",32,100
99,KIMS Hospital,"Kondapur, Hyderabad",32,150
100,Holy Spirit Hospital,"Andheri East, Mumbai",32,300
101,Aditya Birla Memorial Hospital,"Chinchwad, Pune",32,500
105,Zoi Hospitals,"Somajiguda, Hyderabad",31,104
106,Manipal Hospital,"Vidhyadhar Nagar, Jaipur",31,251
107,Madras Medical Mission Hospital,"Mogappair, Chennai",31,100
